Row ID,SKU,Product/Service Name,Category,Source,Current Status,Current Price,Matrix v1.1 Price,Conflict,Proposed Class,Proposed Disposition,Recommendation,Reason,Replacement SKU,Replacement Price,Jackie Ruling,Jackie Notes,Final Disposition
CAT-014,JMP-AUDIO-DIST,Audiobook Distribution Setup,Audio,Worksheet,Active conflict / amend before migration,$195,,yes - not covered in Matrix; verify double-charge risk with $30 annual distribution fee,C,MIGRATE-AMENDED,Migrate only with the stated amendment after Jackie ruling.,Known conflict requires amended migration: yes - not covered in Matrix; verify double-charge risk with $30 annual distribution fee.,,,,,
CAT-015,JMP-AUDIO-PRO,Professional Narrated Audiobook,Audio,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,"$3,000–$5,000",JMP-AUD-HUMAN-SV: From $400/PFH,yes - legacy flat/range price conflicts with per-finished-hour Matrix model,B,SUPERSEDED,Retire or merge into replacement authority after Jackie confirms supersession.,Known conflict: yes - legacy flat/range price conflicts with per-finished-hour Matrix model. Current/legacy value should not control if Matrix authority replaces it.,JMP-AUD-HUMAN-SV,JMP-AUD-HUMAN-SV: From $400/PFH,,,
CAT-016,JMP-AUDIO-RS,Royalty Share Production Coordination (ACX),Audio,Worksheet,Active,$395,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-017,JMP-AUTH-BRAND,Author Branding Package,Author Platform,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-018,JMP-AUTH-COACH,Author Coaching Session,Author Platform,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-019,JMP-AUTH-COMMUNITY,Reader Community Setup,Author Platform,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-020,JMP-AUTH-CONSULT,Publishing Strategy Consultation,Author Platform,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-021,JMP-AUTH-DTC,Direct-to-Reader Store Setup,Author Platform,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-022,JMP-AUTH-EMAIL,Email Newsletter Setup,Author Platform,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-023,JMP-AUTH-FUNNEL,Lead Magnet Funnel Setup,Author Platform,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-024,JMP-AUTH-LANDING,Author Profile Page (Publisher Credential),Author Platform,Worksheet,Active,Included,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-025,JMP-AUTH-MEDIA,Speaking & Media Kit,Author Platform,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-026,JMP-AUTH-PATRON,Patron / Reader Membership Setup  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta,Provisional / decision required,Coming Soon,,PROVISIONAL - internal evaluation only. Not public and not activated.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: PROVISIONAL - internal evaluation only. Not public and not activated.. Preserve blank ruling until Jackie confirms treatment.,,,,,
CAT-027,JMP-AUTH-PHOTO,Author Headshot Prep & Optimization,Author Platform,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-028,JMP-AUTH-PORTAL,Author Portal Setup (Power Apps),Author Platform,Worksheet,Active,$995,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-029,JMP-AUTH-PROFILE,Enhanced Author Page,Author Platform,Worksheet,Active,$395,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-030,JMP-AUTH-WEB,Author Website / Campaign Hub,Author Platform,Worksheet,Active,"$2,500",,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-031,JMP-AUTHCOPY-HC,Author Copies — Hardcover,Book Formats and Author Copies,Worksheet,Active,Cost,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-032,JMP-AUTHCOPY-PB,Author Copies — Paperback,Book Formats and Author Copies,Worksheet,Active,Cost,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-033,JMP-BOOK-AUDIO,Audiobook,Book Formats and Author Copies,Worksheet,Active,—,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-034,JMP-BOOK-EB,eBook,Book Formats and Author Copies,Worksheet,Active,—,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-035,JMP-BOOK-HC,Hardcover,Book Formats and Author Copies,Worksheet,Active,—,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-036,JMP-BOOK-PB,Paperback,Book Formats and Author Copies,Worksheet,Active,—,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-037,JMP-CAT-ANALYTICS,Sales Analytics Report,Catalog Services,Worksheet,Active,$150,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-038,JMP-CAT-AUDIT,Backlist Metadata Audit,Catalog Services,Worksheet,Active,$249,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-039,JMP-CAT-METADATA,Metadata Optimization,Catalog Services,Worksheet,Active,$199,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-040,JMP-CAT-PRICING,Book Pricing Strategy,Catalog Services,Worksheet,Active,$150,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-041,JMP-CAT-REVISION,Revised Edition Service,Catalog Services,Worksheet,Active,$395,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-042,JMP-CHILD-ILLUS,Children's Book Illustration,Children's Publishing,Worksheet,Active,$150–$350 / illustration,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-043,JMP-CHILD-LAYOUT,Illustrated Book Layout,Children's Publishing,Worksheet,Active,$595,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-044,JMP-CHILD-PROD,Illustrated Book Production Setup,Children's Publishing,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-045,JMP-DES-COVER,Professional Cover Design,Design and Production,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-046,JMP-DES-COVER-ADAPT,Cover Adaptation (new format),Design and Production,Worksheet,Active,$95–$150,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-047,JMP-DES-COVER-PREM,Premium Cover Design,Design and Production,Worksheet,Active,$895,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-048,JMP-DES-DEVOTIONAL,Devotional / Curriculum Formatting,Design and Production,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-049,JMP-DES-EBOOK,eBook Conversion,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-EB-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,Retire or merge into replacement authority after Jackie confirms supersession.,Known conflict: yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on. Current/legacy value should not control if Matrix authority replaces it.,JMP-EDT-EB-STD,JMP-EDT-EB-STD: $350,,,
CAT-050,JMP-DES-HARDCOVER,Hardcover Formatting,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-HC-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,Retire or merge into replacement authority after Jackie confirms supersession.,Known conflict: yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on. Current/legacy value should not control if Matrix authority replaces it.,JMP-EDT-HC-STD,JMP-EDT-HC-STD: $350,,,
CAT-051,JMP-DES-ILLUSTRATION,Illustration Integration,Design and Production,Worksheet,Active,$150,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-052,JMP-DES-INTERACTIVE,Interactive eBook Production  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,Coming Soon,"JMP-INT-EPUB3-STD: Starting at $1,500 after scope cap",PROVISIONAL - evaluate separate SKU vs subordinate capability of JMP-INT-EPUB3-STD. Not public and not activated.,D,PROVISIONAL,Hold as PF-08 active / scoping-gated; no quote or production commitment without SOW.,Decision row: PROVISIONAL - evaluate separate SKU vs subordinate capability of JMP-INT-EPUB3-STD. Not public and not activated.. Preserve blank ruling until Jackie confirms treatment.,JMP-INT-EPUB3-STD,"JMP-INT-EPUB3-STD: Starting at $1,500 after scope cap",,,
CAT-053,JMP-DES-LARGEPRINT,Large Print Formatting,Design and Production,Worksheet; Matrix v1.1,Legacy conflict / superseded candidate,$195,JMP-EDT-LP-STD: $350,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,B,SUPERSEDED,Retire or merge into replacement authority after Jackie confirms supersession.,Known conflict: yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on. Current/legacy value should not control if Matrix authority replaces it.,JMP-EDT-LP-STD,JMP-EDT-LP-STD: $350,,,
CAT-054,JMP-DES-LAYOUT,Interior Layout & Typesetting,Design and Production,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-055,JMP-DES-PRINT-ADD,Additional Print Format Upgrade,Design and Production,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-056,JMP-DES-PROOF-PRINT,Physical Print Proof,Design and Production,Worksheet,Active,$45–$75 + shipping,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-057,JMP-DES-REVISION,Interior Revision (Post-Layout),Design and Production,Worksheet,Active,$150 flat / $75/hr,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-058,JMP-DIST-ANNUAL,Annual Distribution & Maintenance,Distribution and Post-Launch,Worksheet,Active,$49 / title / year,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-059,JMP-DIST-BULK,Bulk Author Copy Order Support,Distribution and Post-Launch,Worksheet,Active,$95,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-060,JMP-DIST-CHURCH,Church Bookstore Placement,Distribution and Post-Launch,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-061,JMP-DIST-CONFERENCE,Conference & Event Sales Setup,Distribution and Post-Launch,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-062,JMP-DIST-FAITH,Faith Market Distribution (CBA / Church),Distribution and Post-Launch,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-063,JMP-DIST-INGRAM-UPGRADE,Expanded Ingram Distribution Upgrade,Distribution and Post-Launch,Catalog v2.1 delta; Matrix v1.1,Provisional / decision required,$125,JMP-DIST-ANNUAL; JMP-DIST-LSI-UPGRADE,"JACKIE DECISION REQUIRED - evaluate whether this is UNIQUE, OVERLAPS, or REPLACES Annual Distribution Fee ($30) and legacy LSI upgrade.",D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,"Decision row: JACKIE DECISION REQUIRED - evaluate whether this is UNIQUE, OVERLAPS, or REPLACES Annual Distribution Fee ($30) and legacy LSI upgrade.. Preserve blank ruling until Jackie confirms treatment.",JMP-DIST-ANNUAL / JMP-DIST-LSI-UPGRADE,JMP-DIST-ANNUAL; JMP-DIST-LSI-UPGRADE,,,
CAT-064,JMP-DIST-LIBRARY,Expanded Library Distribution,Distribution and Post-Launch,Worksheet,Active,$195,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-065,JMP-DIST-LSI-UPGRADE,LSI Distribution Upgrade,Uncategorized,Worksheet,Active,$125,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-066,JMP-DIST-TRANSFER,Title Transfer / Republishing Setup,Distribution and Post-Launch,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-067,JMP-EDIT-COAUTHOR,Co-Author / Contributor Coordination,Editorial Services,Catalog v2.1 delta,Provisional / decision required,$395,,no Matrix v1.1 equivalent identified; confirm scope and whether this is editorial service or ghostwriting relationship.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: no Matrix v1.1 equivalent identified; confirm scope and whether this is editorial service or ghostwriting relationship.. Preserve blank ruling until Jackie confirms treatment.,,,,,
CAT-068,JMP-EDIT-COPY,Copy Editing,Editorial Services,Worksheet,Active,$0.035 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-069,JMP-EDIT-DEV,Developmental Editing,Editorial Services,Worksheet,Active,$0.08 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-070,JMP-EDIT-EVAL,Manuscript Evaluation,Editorial Services,Worksheet,Active,$295,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-071,JMP-EDIT-INDEX,Nonfiction Indexing Coordination,Editorial Services,Catalog v2.1 delta,Provisional / decision required,Quoted per project,,no Matrix v1.1 equivalent identified; likely unique editorial/production add-on pending price and scope.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: no Matrix v1.1 equivalent identified; likely unique editorial/production add-on pending price and scope.. Preserve blank ruling until Jackie confirms treatment.,,,,,
CAT-072,JMP-EDIT-LINE,Line Editing,Editorial Services,Worksheet,Active,$0.05 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-073,JMP-EDIT-PROOF,Proofreading,Editorial Services,Worksheet,Active,$0.02 / word,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-074,JMP-EDU-BIBLESTUDY,Bible Study Kit Creation,Education and Legal,Worksheet,Active,$495,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-075,JMP-EDU-COURSE,Self-Paced Publishing Course Access,Education and Legal,Worksheet,Active,$197,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-076,JMP-EDU-PODCAST,Book-to-Podcast Strategy & Production  — Coming Soon,Coming Soon Capabilities,Catalog v2.1 delta,Provisional / decision required,Coming Soon,,PROVISIONAL - internal evaluation only. Not public and not activated.,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: PROVISIONAL - internal evaluation only. Not public and not activated.. Preserve blank ruling until Jackie confirms treatment.,,,,,
CAT-077,JMP-EDU-WORKSHOP,"Author Workshop (Group, Virtual)",Education and Legal,Worksheet,Active,$97 / attendee,,no Matrix v1.1 equivalent identified,A,MIGRATE-AS-IS,Migrate as-is after Jackie spot-check confirms no business exception.,No Matrix v1.1 replacement was identified in the current worksheet; keep unless Jackie rules otherwise.,,,,,
CAT-078,JMP-GHOST-ANTHOLOGY,Anthology Creation,Uncategorized,Worksheet,Provisional / decision required,TBD,,no - provisional/non-public activation pending,D,PROVISIONAL,Hold as provisional or decision-required; no public activation until Jackie rules.,Decision row: no - provisional/non-public activation pending. Preserve blank ruling until Jackie confirms treatment.,,,,,
