"CanonicalTitle","AuthorPublicName","SourceRecoveryState","LatestTrustworthySourceManuscript","LatestTrustworthyWorkingArtifact","LatestAuthorApprovedArtifact","DoNotDo","ImmediateManualRecoveryAction"
"Establishing Glory 3: The Marriage Handbook","Jackie Smith, Jr.","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Establishing Glory 2: The Relationship Handbook (2nd Edition)","Jackie Smith, Jr.","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Trubie's Guide Pt. 1","Alesia Corpening","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Trubie's Guide Pt. 2","Alesia Corpening","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"101 Wisdom Lessons for Life and Living","j. Derrick Johnson","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Melodies from Heaven","Bailey Cunningham","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Little Bit of Everything","Eryonna Noelle","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Come Out of Hiding","Chistina Chislom","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Never Before Told Story of the Gelatin Monster","Nicky Williams","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Hop, Hop, Hop","Tawanna Mars","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Just What I Needed","Andrean Young","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Department of the Air Force: Mission Driven Leadership","Andrew Bowens, Lenetta Banks Williams, Jamichael Hill Beard, Anthony Cain","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Little Girl with the Plow","Chistina Chislom","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Your brain has too much what, mommy","Essence Unique","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"According to Mark","Alice V. Pryor","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Pretty Wings","Natasha Gilchrist","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"She","Darlene Carson","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Rhyming It up with Church Stuff","Junaita Travis","SOURCE_GENUINELY_MISSING","","","","Do not use superseded or unbound artifacts as current.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","SOURCE_GENUINELY_MISSING","No manuscript evidence confirmed","","","Do not treat this prospect/review row as active contracted editorial without agreement/source evidence.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
