"CanonicalTitle","AuthorPublicName","LastExternalCommunication","LastHumanPromise","WorkspaceRequiredNow","Provisioned","ActivationSent","Activated","CTAFunctional"
"Come Out Of Hiding: Activating Deliverance","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Because the Lord is My Shepherd: Psalm 23 and Me","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Bodacious: Controversial and Provocative","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Aligned!: Unlocking the DNA of Authentic Faith","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Are You Sure That You Are Ready?: A Guide for Vendors","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"A Principal's Tale: A Self-Determined Leader","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Abortion!: George and Giovanna","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"27 Days to Overcoming Depression: Debunking All the Lies","","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The I Am In Me Part 2, Second Edition","Tekisha Wimbush","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The I Am in Me, Second Edition","Tekisha Wimbush","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The ESSENCE of Life","Tracy Norris","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Grandmothers Educating Minds, 2nd Edition","Toni Kleckley","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Establishing Glory 3: The Marriage Handbook","Jackie Smith, Jr.","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Establishing Glory 2: The Relationship Handbook (2nd Edition)","Jackie Smith, Jr.","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"A Trubie's Guide Pt. 1","Alesia Corpening","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"A Trubie's Guide Pt. 2","Alesia Corpening","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"101 Wisdom Lessons for Life and Living","j. Derrick Johnson","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Melodies from Heaven","Bailey Cunningham","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"A Little Bit of Everything","Eryonna Noelle","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Come Out of Hiding","Chistina Chislom","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Never Before Told Story of the Gelatin Monster","Nicky Williams","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Hop, Hop, Hop","Tawanna Mars","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Just What I Needed","Andrean Young","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Department of the Air Force: Mission Driven Leadership","Andrew Bowens, Lenetta Banks Williams, Jamichael Hill Beard, Anthony Cain","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"The Little Girl with the Plow","Chistina Chislom","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Your brain has too much what, mommy","Essence Unique","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"According to Mark","Alice V. Pryor","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Pretty Wings","Natasha Gilchrist","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"She","Darlene Carson","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Rhyming It up with Church Stuff","Junaita Travis","","NO_RECENT_EXTERNAL_PROMISE_FOUND_RECONCILE","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","NO_CURRENT_EVIDENCE"
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","Intake acknowledgment 835500001","Intake acknowledged; manuscript/Editorial Review handling expected next.","NO_OR_OPTIONAL","YES","UNKNOWN","NO","NO_CURRENT_EVIDENCE"
