"CanonicalTitle","AuthorPublicName","CurrentAuthorGate","AuthorReviewState","LatestAuthorApprovedArtifact","NextGovernedAction"
"Warriors and Angels: Liberating Inner Power in the Journey of Life","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Your Peace is a Priority: A Devotional Journal","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Journey: The Inspiration and Message Behind the Music","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"todays's new title","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Great Hair Restart: The Journal","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Taylor Made: My Life, My Story","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"More Than A Village: Raising Black Men in America","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Speech Therapy Works!: Juliana's Story","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"My ABCs","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"SHE: An Expose' of Her Insufficiencies","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Loving the Addict: While Taking Care of Yourself First","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Memoir of a Black Christian Nationalist: Seeds of Liberation","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Just What I Needed: Daily Devotional","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Inspirations from God: God is Gooood!","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Delicious Ideas!: The Legacy Cookbook","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Discipline and Direction: God's Leadership Style","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Divinely Inspired: Trauma Triumphed","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Come Out Of Hiding: Activating Deliverance","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Because the Lord is My Shepherd: Psalm 23 and Me","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Bodacious: Controversial and Provocative","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Aligned!: Unlocking the DNA of Authentic Faith","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Are You Sure That You Are Ready?: A Guide for Vendors","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"A Principal's Tale: A Self-Determined Leader","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Abortion!: George and Giovanna","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"27 Days to Overcoming Depression: Debunking All the Lies","","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The I Am In Me Part 2, Second Edition","Tekisha Wimbush","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The I Am in Me, Second Edition","Tekisha Wimbush","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The ESSENCE of Life","Tracy Norris","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Grandmothers Educating Minds, 2nd Edition","Toni Kleckley","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Establishing Glory 3: The Marriage Handbook","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Establishing Glory 2: The Relationship Handbook (2nd Edition)","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"A Trubie's Guide Pt. 1","Alesia Corpening","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"A Trubie's Guide Pt. 2","Alesia Corpening","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"101 Wisdom Lessons for Life and Living","j. Derrick Johnson","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Melodies from Heaven","Bailey Cunningham","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"A Little Bit of Everything","Eryonna Noelle","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Come Out of Hiding","Chistina Chislom","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Never Before Told Story of the Gelatin Monster","Nicky Williams","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Hop, Hop, Hop","Tawanna Mars","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Just What I Needed","Andrean Young","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Department of the Air Force: Mission Driven Leadership","Andrew Bowens, Lenetta Banks Williams, Jamichael Hill Beard, Anthony Cain","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"The Little Girl with the Plow","Chistina Chislom","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Your brain has too much what, mommy","Essence Unique","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"According to Mark","Alice V. Pryor","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Pretty Wings","Natasha Gilchrist","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"She","Darlene Carson","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Rhyming It up with Church Stuff","Junaita Travis","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Review current title stage."
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","","Prepare certified prospect recommendation."
