"Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Delicious Ideas!: The Legacy Cookbook","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Discipline and Direction: God's Leadership Style","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Divinely Inspired: Trauma Triumphed","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Come Out Of Hiding: Activating Deliverance","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Because the Lord is My Shepherd: Psalm 23 and Me","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Bodacious: Controversial and Provocative","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Aligned!: Unlocking the DNA of Authentic Faith","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Are You Sure That You Are Ready?: A Guide for Vendors","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Principal's Tale: A Self-Determined Leader","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Abortion!: George and Giovanna","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"27 Days to Overcoming Depression: Debunking All the Lies","","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The I Am In Me Part 2, Second Edition","Tekisha Wimbush","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The I Am in Me, Second Edition","Tekisha Wimbush","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The ESSENCE of Life","Tracy Norris","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Grandmothers Educating Minds, 2nd Edition","Toni Kleckley","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Establishing Glory 3: The Marriage Handbook","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Establishing Glory 2: The Relationship Handbook (2nd Edition)","Jackie Smith, Jr.","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Trubie's Guide Pt. 1","Alesia Corpening","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Trubie's Guide Pt. 2","Alesia Corpening","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"101 Wisdom Lessons for Life and Living","j. Derrick Johnson","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Melodies from Heaven","Bailey Cunningham","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"A Little Bit of Everything","Eryonna Noelle","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Come Out of Hiding","Chistina Chislom","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Never Before Told Story of the Gelatin Monster","Nicky Williams","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Hop, Hop, Hop","Tawanna Mars","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Just What I Needed","Andrean Young","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Department of the Air Force: Mission Driven Leadership","Andrew Bowens, Lenetta Banks Williams, Jamichael Hill Beard, Anthony Cain","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"The Little Girl with the Plow","Chistina Chislom","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Your brain has too much what, mommy","Essence Unique","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"According to Mark","Alice V. Pryor","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Pretty Wings","Natasha Gilchrist","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"She","Darlene Carson","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Rhyming It up with Church Stuff","Junaita Travis","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Review current title stage.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
"Girl, You’re Not Crazy You’re Dealing With a Narcissist","Carolyn Pierce","NO_ACTIVE_AUTHOR_RESPONSE_FOUND_BY_CENSUS","RECONCILE_AUTHOR_APPROVAL_STATE","NO_ACTIVE_AUTHOR_APPROVAL_GATE_EXPOSED_IN_CENSUS","Prepare certified prospect recommendation.","Confirm whether JMP lacks the source; if truly missing, request source through governed manual recovery after Jackie review."
