"Priority","CanonicalTitle","AuthorPublicName","BoundedHumanQuestion","SourceRecoveryState","CurrentBusinessStage","CurrentEditorialStage"
"P4","Memoir of a Black Christian Nationalist: Seeds of Liberation","","Which current lifecycle/stage should govern ""Memoir of a Black Christian Nationalist: Seeds of Liberation"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Just What I Needed: Daily Devotional","","Which current lifecycle/stage should govern ""Just What I Needed: Daily Devotional"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose","","Which current lifecycle/stage should govern ""Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Inspirations from God: God is Gooood!","","Which current lifecycle/stage should govern ""Inspirations from God: God is Gooood!"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time","","Which current lifecycle/stage should govern ""Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition","","Which current lifecycle/stage should govern ""Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Delicious Ideas!: The Legacy Cookbook","","Which current lifecycle/stage should govern ""Delicious Ideas!: The Legacy Cookbook"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Discipline and Direction: God's Leadership Style","","Which current lifecycle/stage should govern ""Discipline and Direction: God's Leadership Style"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Divinely Inspired: Trauma Triumphed","","Which current lifecycle/stage should govern ""Divinely Inspired: Trauma Triumphed"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Come Out Of Hiding: Activating Deliverance","","Which current lifecycle/stage should govern ""Come Out Of Hiding: Activating Deliverance"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Because the Lord is My Shepherd: Psalm 23 and Me","","Which current lifecycle/stage should govern ""Because the Lord is My Shepherd: Psalm 23 and Me"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Bodacious: Controversial and Provocative","","Which current lifecycle/stage should govern ""Bodacious: Controversial and Provocative"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Aligned!: Unlocking the DNA of Authentic Faith","","Which current lifecycle/stage should govern ""Aligned!: Unlocking the DNA of Authentic Faith"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Are You Sure That You Are Ready?: A Guide for Vendors","","Which current lifecycle/stage should govern ""Are You Sure That You Are Ready?: A Guide for Vendors"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","A Principal's Tale: A Self-Determined Leader","","Which current lifecycle/stage should govern ""A Principal's Tale: A Self-Determined Leader"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Abortion!: George and Giovanna","","Which current lifecycle/stage should govern ""Abortion!: George and Giovanna"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","27 Days to Overcoming Depression: Debunking All the Lies","","Which current lifecycle/stage should govern ""27 Days to Overcoming Depression: Debunking All the Lies"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The I Am In Me Part 2, Second Edition","Tekisha Wimbush","Which current lifecycle/stage should govern ""The I Am In Me Part 2, Second Edition"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The I Am in Me, Second Edition","Tekisha Wimbush","Which current lifecycle/stage should govern ""The I Am in Me, Second Edition"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The ESSENCE of Life","Tracy Norris","Which current lifecycle/stage should govern ""The ESSENCE of Life"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Grandmothers Educating Minds, 2nd Edition","Toni Kleckley","Which current lifecycle/stage should govern ""Grandmothers Educating Minds, 2nd Edition"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Establishing Glory 3: The Marriage Handbook","Jackie Smith, Jr.","Which current lifecycle/stage should govern ""Establishing Glory 3: The Marriage Handbook"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Establishing Glory 2: The Relationship Handbook (2nd Edition)","Jackie Smith, Jr.","Which current lifecycle/stage should govern ""Establishing Glory 2: The Relationship Handbook (2nd Edition)"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","A Trubie's Guide Pt. 1","Alesia Corpening","Which current lifecycle/stage should govern ""A Trubie's Guide Pt. 1"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","A Trubie's Guide Pt. 2","Alesia Corpening","Which current lifecycle/stage should govern ""A Trubie's Guide Pt. 2"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","101 Wisdom Lessons for Life and Living","j. Derrick Johnson","Which current lifecycle/stage should govern ""101 Wisdom Lessons for Life and Living"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Melodies from Heaven","Bailey Cunningham","Which current lifecycle/stage should govern ""Melodies from Heaven"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","A Little Bit of Everything","Eryonna Noelle","Which current lifecycle/stage should govern ""A Little Bit of Everything"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Come Out of Hiding","Chistina Chislom","Which current lifecycle/stage should govern ""Come Out of Hiding"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Never Before Told Story of the Gelatin Monster","Nicky Williams","Which current lifecycle/stage should govern ""The Never Before Told Story of the Gelatin Monster"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Hop, Hop, Hop","Tawanna Mars","Which current lifecycle/stage should govern ""Hop, Hop, Hop"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Just What I Needed","Andrean Young","Which current lifecycle/stage should govern ""Just What I Needed"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Department of the Air Force: Mission Driven Leadership","Andrew Bowens, Lenetta Banks Williams, Jamichael Hill Beard, Anthony Cain","Which current lifecycle/stage should govern ""Department of the Air Force: Mission Driven Leadership"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","The Little Girl with the Plow","Chistina Chislom","Which current lifecycle/stage should govern ""The Little Girl with the Plow"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Your brain has too much what, mommy","Essence Unique","Which current lifecycle/stage should govern ""Your brain has too much what, mommy"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","According to Mark","Alice V. Pryor","Which current lifecycle/stage should govern ""According to Mark"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Pretty Wings","Natasha Gilchrist","Which current lifecycle/stage should govern ""Pretty Wings"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","She","Darlene Carson","Which current lifecycle/stage should govern ""She"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
"P4","Rhyming It up with Church Stuff","Junaita Travis","Which current lifecycle/stage should govern ""Rhyming It up with Church Stuff"" before it appears as active work?","SOURCE_GENUINELY_MISSING","",""
