canonical_key,title,waiting_on,stage,age_basis,blocker
title:you re still not crazy,You're Still Not Crazy,None,Unknown,2026-07-27T13:12:01Z,Reconciliation required
title:your brain has too much what mommy,"Your brain has too much what, mommy??",None,Unknown,2026-07-27T13:12:01Z,Reconciliation required
title:your peace is a priority,Your Peace Is a Priority,None,Unknown,2026-07-27T13:12:01Z,Reconciliation required
title:words of a troubled soul,Words of A Troubled Soul,None,Unknown,2026-07-27T13:12:00Z,Reconciliation required
title:why faith works for some and not for others,Why Faith Works For Some And Not For Others,None,Unknown,2026-07-27T13:12:00Z,Reconciliation required
title:when zuri came to earth,When Zuri Came to Earth,None,Unknown,2026-07-27T13:12:00Z,Reconciliation required
title:warriors and angels,Warriors and Angels,None,Unknown,2026-07-27T13:11:59Z,Reconciliation required
title:what goes up must come down let s face it,What Goes up Must Come down Let's Face It,None,Unknown,2026-07-27T13:11:59Z,Reconciliation required
title:when a thug meets jesus,When a Thug Meets Jesus,None,Unknown,2026-07-27T13:11:59Z,Reconciliation required
title:warrior s breed,Warrior's Breed,None,Unknown,2026-07-27T13:11:59Z,Reconciliation required
title:uncomfortable conversations with god,Uncomfortable Conversations with God,None,Unknown,2026-07-27T13:11:58Z,Reconciliation required
title:war mother,War Mother,None,Unknown,2026-07-27T13:11:58Z,Reconciliation required
title:understanding the misunderstood,Understanding the Misunderstood,None,Unknown,2026-07-27T13:11:58Z,Reconciliation required
title:the sun the shadow and the silence,"The Sun, the Shadow, and the Silence",None,Unknown,2026-07-27T13:11:58Z,Reconciliation required
title:the release of the spirit,The Release of the Spirit,None,Unknown,2026-07-27T13:11:57Z,Reconciliation required
title:the shift,The Shift,None,Unknown,2026-07-27T13:11:57Z,Reconciliation required
title:the princess and the black eyed pea,The Princess and the Black-eyed Pea,None,Unknown,2026-07-27T13:11:57Z,Reconciliation required
title:the messenger 2,The Messenger 2,None,Unknown,2026-07-27T13:11:56Z,Reconciliation required
title:the never before told story of the gelatin monster,The Never Before Told Story of the Gelatin Monster,None,Unknown,2026-07-27T13:11:56Z,Reconciliation required
title:the paper champ,The Paper Champ,None,Unknown,2026-07-27T13:11:56Z,Reconciliation required
title:the messenger,The Messenger,None,Unknown,2026-07-27T13:11:56Z,Reconciliation required
title:the master s piece,The Master's Piece,None,Unknown,2026-07-27T13:11:55Z,Reconciliation required
title:the journey,The Journey,None,Unknown,2026-07-27T13:11:55Z,Reconciliation required
title:the little girl with the plow,The Little Girl with the Plow!,None,Unknown,2026-07-27T13:11:55Z,Reconciliation required
title:the i am in me part 2,The I Am in Me Part 2,None,Unknown,2026-07-27T13:11:55Z,Reconciliation required
title:the hood,The Hood,None,Unknown,2026-07-27T13:11:54Z,Reconciliation required
title:the healed me,The Healed Me,None,Unknown,2026-07-27T13:11:54Z,Reconciliation required
title:the i am in me,The I Am in Me,None,Unknown,2026-07-27T13:11:54Z,Reconciliation required
title:the girl with the ebony locs and the three bears,The Girl with the Ebony Locs and the Three Bears,None,Unknown,2026-07-27T13:11:53Z,Reconciliation required
title:the great hair restart,The Great Hair Restart,None,Unknown,2026-07-27T13:11:53Z,Reconciliation required
title:the flame,The Flame,None,Unknown,2026-07-27T13:11:52Z,Reconciliation required
title:the fight for the promiseland,The Fight for the Promiseland,None,Unknown,2026-07-27T13:11:52Z,Reconciliation required
title:the doctrine of last things,The Doctrine of Last Things,None,Unknown,2026-07-27T13:11:52Z,Reconciliation required
title:the essence of life love letters to christ,"The Essence of Life, Love Letters to Christ",None,Unknown,2026-07-27T13:11:52Z,Reconciliation required
title:the conquest of azenga,The Conquest of Azenga,None,Unknown,2026-07-27T13:11:51Z,Reconciliation required
title:the celestial advantage,The Celestial Advantage,None,Unknown,2026-07-27T13:11:51Z,Reconciliation required
title:taylor made,Taylor Made,None,Unknown,2026-07-27T13:11:51Z,Reconciliation required
title:speech therapy works,Speech Therapy Works!,None,Unknown,2026-07-27T13:11:49Z,Reconciliation required
title:she,SHE,None,Unknown,2026-07-27T13:11:49Z,Reconciliation required
title:support beyond the cycle,Support Beyond the Cycle,None,Unknown,2026-07-27T13:11:49Z,Reconciliation required
title:pieces of me all over the place,Pieces of Me All Over the Place,None,Unknown,2026-07-27T13:11:48Z,Reconciliation required
title:pretty wings,Pretty Wings,None,Unknown,2026-07-27T13:11:48Z,Reconciliation required
title:rhyming it up with church stuff,Rhyming It up with Church Stuff,None,Unknown,2026-07-27T13:11:48Z,Reconciliation required
title:seasons of life,Seasons of Life,None,Unknown,2026-07-27T13:11:48Z,Reconciliation required
title:ordinary people searching for greatness,Ordinary People Searching for Greatness,None,Unknown,2026-07-27T13:11:47Z,Reconciliation required
title:peaches can do it,Peaches Can Do It!,None,Unknown,2026-07-27T13:11:47Z,Reconciliation required
title:one soul,One Soul,None,Unknown,2026-07-27T13:11:47Z,Reconciliation required
title:number 23 and me,Number 23 and Me,None,Unknown,2026-07-27T13:11:46Z,Reconciliation required
title:never give up on love,Never Give Up On Love,None,Unknown,2026-07-27T13:11:46Z,Reconciliation required
title:my abc s,My ABC's,None,Unknown,2026-07-27T13:11:45Z,Reconciliation required
title:naughty tales,Naughty Tales,None,Unknown,2026-07-27T13:11:45Z,Reconciliation required
title:music ministry unplugged,Music Ministry Unplugged,None,Unknown,2026-07-27T13:11:45Z,Reconciliation required
title:more than a village,More Than a Village,None,Unknown,2026-07-27T13:11:44Z,Reconciliation required
title:mirror of refining insight,Mirror of Refining Insight,None,Unknown,2026-07-27T13:11:44Z,Reconciliation required
title:memoir of a black christian nationalist,Memoir of a Black Christian Nationalist,None,Unknown,2026-07-27T13:11:44Z,Reconciliation required
title:love of my life,Love of My Life,None,Unknown,2026-07-27T13:11:43Z,Reconciliation required
title:loving the addict,Loving the Addict,None,Unknown,2026-07-27T13:11:43Z,Reconciliation required
title:melodies from heaven,Melodies From Heaven,None,Unknown,2026-07-27T13:11:43Z,Reconciliation required
title:love lucy,Love Lucy,None,Unknown,2026-07-27T13:11:42Z,Reconciliation required
title:life after detour,Life after Detour,None,Unknown,2026-07-27T13:11:42Z,Reconciliation required
title:let me tell you about it,Let Me Tell You About It,None,Unknown,2026-07-27T13:11:42Z,Reconciliation required
title:love is an action word,Love Is an Action Word,None,Unknown,2026-07-27T13:11:42Z,Reconciliation required
title:just what i needed,Just What I Needed,None,Unknown,2026-07-27T13:11:41Z,Reconciliation required
title:jewels by lady j,Jewels by Lady J,None,Unknown,2026-07-27T13:11:41Z,Reconciliation required
title:kingdom equipment 101,Kingdom Equipment 101,None,Unknown,2026-07-27T13:11:41Z,Reconciliation required
title:lady daphanny s altar,Lady Daphanny's Altar,None,Unknown,2026-07-27T13:11:41Z,Reconciliation required
title:inspirations from god,Inspirations from God,None,Unknown,2026-07-27T13:11:40Z,Reconciliation required
title:jalen becomes a big brother,Jalen Becomes a Big Brother,None,Unknown,2026-07-27T13:11:40Z,Reconciliation required
title:inner peace through life s storms,Inner Peace Through Life's Storms,None,Unknown,2026-07-27T13:11:40Z,Reconciliation required
title:help god i am sad,"Help God, I Am Sad",None,Unknown,2026-07-27T13:11:39Z,Reconciliation required
title:hodge podge of life,Hodge Podge of Life,None,Unknown,2026-07-27T13:11:39Z,Reconciliation required
title:i am my worst enemy,I Am My Worst Enemy!,None,Unknown,2026-07-27T13:11:39Z,Reconciliation required
title:help god i am lost,"Help God, I Am Lost",None,Unknown,2026-07-27T13:11:39Z,Reconciliation required
title:hop hop hop,"Hop, Hop, Hop",None,Unknown,2026-07-27T13:11:39Z,Reconciliation required
title:help god i am hurt,"Help God, I Am Hurt",None,Unknown,2026-07-27T13:11:38Z,Reconciliation required
title:help god i am lonely,"Help God, I Am Lonely",None,Unknown,2026-07-27T13:11:38Z,Reconciliation required
title:help god i am confused,"Help God, I Am Confused",None,Unknown,2026-07-27T13:11:38Z,Reconciliation required
title:help god i am angry,"Help God, I Am Angry",None,Unknown,2026-07-27T13:11:38Z,Reconciliation required
title:help god i am afraid,"Help God, I Am Afraid",None,Unknown,2026-07-27T13:11:37Z,Reconciliation required
title:help god i am the collection,"Help God, I Am - the Collection",None,Unknown,2026-07-27T13:11:37Z,Reconciliation required
title:have you considered my servant,Have You Considered My Servant?,None,Unknown,2026-07-27T13:11:37Z,Reconciliation required
title:god s business plan,God's Business Plan,None,Unknown,2026-07-27T13:11:36Z,Reconciliation required
title:grandmothers educating minds,Grandmothers Educating Minds,None,Unknown,2026-07-27T13:11:36Z,Reconciliation required
title:god s nudge,God's Nudge,None,Unknown,2026-07-27T13:11:36Z,Reconciliation required
title:god s word for this world,God's Word for This World,None,Unknown,2026-07-27T13:11:36Z,Reconciliation required
title:girl did you know,"Girl, Did You Know... ?",None,Unknown,2026-07-27T13:11:35Z,Reconciliation required
title:from stylist to ceo,From Stylist to CEO,None,Unknown,2026-07-27T13:11:35Z,Reconciliation required
title:getting back 2 happy the chronicles of tabby unabridged,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),None,Unknown,2026-07-27T13:11:35Z,Reconciliation required
title:girl you re not crazy you re dealing with a narcissist,"Girl, You're Not Crazy. You're Dealing With a Narcissist",None,Unknown,2026-07-27T13:11:35Z,Reconciliation required
title:getting back 2 happy,Getting Back 2 Happy,None,Unknown,2026-07-27T13:11:35Z,Reconciliation required
title:focus trust and follow,"Focus, Trust, & Follow",None,Unknown,2026-07-27T13:11:34Z,Reconciliation required
title:for what it s worth,For What It's Worth,None,Unknown,2026-07-27T13:11:34Z,Reconciliation required
title:establishing glory the relationship handbook,Establishing Glory: The Relationship Handbook,None,Unknown,2026-07-27T13:11:34Z,Reconciliation required
title:establishing glory the praise and worship handbook,Establishing Glory: The Praise and Worship Handbook,None,Unknown,2026-07-27T13:11:34Z,Reconciliation required
title:establishing glory the praise and worship handbook 2nd edition,Establishing Glory: The Praise and Worship Handbook (2nd Edition),None,Unknown,2026-07-27T13:11:34Z,Reconciliation required
title:establishing glory,Establishing Glory,None,Unknown,2026-07-27T13:11:33Z,Reconciliation required
title:establishing glory 2,Establishing Glory 2,None,Unknown,2026-07-27T13:11:33Z,Reconciliation required
title:establishing glory 3,Establishing Glory 3,None,Unknown,2026-07-27T13:11:33Z,Reconciliation required
title:divinely inspired,Divinely Inspired,None,Unknown,2026-07-27T13:11:32Z,Reconciliation required
title:destined to break the curse,Destined to Break the Curse,None,Unknown,2026-07-27T13:11:31Z,Reconciliation required
title:discipline and direction,Discipline and Direction,None,Unknown,2026-07-27T13:11:31Z,Reconciliation required
title:department of the air force mission driven leadership,Department of the Air Force: Mission Driven Leadership,None,Unknown,2026-07-27T13:11:31Z,Reconciliation required
title:destined to break the curse devotional,Destined To Break The Curse Devotional,None,Unknown,2026-07-27T13:11:31Z,Reconciliation required
title:delicious ideas,Delicious Ideas!,None,Unknown,2026-07-27T13:11:30Z,Reconciliation required
title:damaged,Damaged,None,Unknown,2026-07-27T13:11:30Z,Reconciliation required
title:conquer your fears and win,Conquer Your Fears and Win,None,Unknown,2026-07-27T13:11:30Z,Reconciliation required
title:bodacious,Bodacious,None,Unknown,2026-07-27T13:11:29Z,Reconciliation required
title:connected,Connected!,None,Unknown,2026-07-27T13:11:29Z,Reconciliation required
title:come out of hiding,Come Out of Hiding,None,Unknown,2026-07-27T13:11:29Z,Reconciliation required
title:biblical prescriptions for life s troubles,Biblical Prescriptions For Life's Troubles,None,Unknown,2026-07-27T13:11:29Z,Reconciliation required
title:bee careful,BEE Careful,None,Unknown,2026-07-27T13:11:28Z,Reconciliation required
title:because the lord is my shepherd,Because the Lord is My Shepherd,None,Unknown,2026-07-27T13:11:28Z,Reconciliation required
title:almost happy,Almost Happy,None,Unknown,2026-07-27T13:11:27Z,Reconciliation required
title:aligned,Aligned!,None,Unknown,2026-07-27T13:11:27Z,Reconciliation required
title:are you sure that you are ready,Are You Sure That You Are Ready?,None,Unknown,2026-07-27T13:11:27Z,Reconciliation required
title:according to mark,According to Mark,None,Unknown,2026-07-27T13:11:27Z,Reconciliation required
title:a truebies guide part 1,"A Truebies Guide, Part 1",None,Unknown,2026-07-27T13:11:26Z,Reconciliation required
title:a truebies guide part 2,"A Truebies Guide, Part 2",None,Unknown,2026-07-27T13:11:26Z,Reconciliation required
title:abortion,Abortion!,None,Unknown,2026-07-27T13:11:26Z,Reconciliation required
title:a principal s tale,A Principal's Tale,None,Unknown,2026-07-27T13:11:25Z,Reconciliation required
title:a portrait of paradise,A Portrait of Paradise,None,Unknown,2026-07-27T13:11:25Z,Reconciliation required
title:a little bit of everything,A Little Bit of Everything,None,Unknown,2026-07-27T13:11:25Z,Reconciliation required
title:365 days of transparency,365 Days of Transparency,None,Unknown,2026-07-27T13:11:24Z,Reconciliation required
title:7 step jumpstart to becoming your best self,7 Step Jumpstart to Becoming Your Best Self,None,Unknown,2026-07-27T13:11:24Z,Reconciliation required
title:a blended family,A Blended Family,None,Unknown,2026-07-27T13:11:24Z,Reconciliation required
title:27 days to overcoming depression,27 Days to Overcoming Depression,None,Unknown,2026-07-27T13:11:23Z,Reconciliation required
title:100 wisdom lessons for life and living,100 Wisdom Lessons for Life and Living,None,Unknown,2026-07-27T13:11:23Z,Reconciliation required
title:jm1 preview synthetic artifact b,JM1 Preview Synthetic Artifact B,Author,Proofreading,2026-07-28T14:24:06Z,Await Proofreading author response/full approval
title:jm1 preview synthetic artifact a,JM1 Preview Synthetic Artifact A,Author,Proofreading,2026-07-28T14:24:07Z,Await Proofreading author response/full approval
title:the fight for the promiseland battle strategies for victorious people,The Fight for the Promiseland: Battle Strategies for Victorious People,None,Unknown,2026-07-17T13:12:46Z,Reconciliation required
title:music ministry unplugged real lessons for those who lead and serve in music ministry,Music Ministry Unplugged: Real Lessons for Those who Lead and Serve in Music Ministry,None,Unknown,2026-07-17T13:12:45Z,Reconciliation required
title:memoir of a black christian nationalist seeds of liberation unabridged,Memoir of a Black Christian Nationalist: Seeds of Liberation (Unabridged),None,Unknown,2026-07-17T13:12:40Z,Reconciliation required
title:the long watch,The Long Watch,Author,Developmental Editing,2026-08-02T11:48:36Z,Await Developmental Editing author response/full approval
title:the general s will and last testament,The General’s Will and Last Testament,Author,Developmental Editing,2026-08-11T11:23:46Z,Await Developmental Editing author response/full approval
title:before you were born,Before You Were Born,External,Developmental Editing,2026-08-02T11:00:22Z,External dependency for Developmental Editing
title:establishing glory the library,Establishing Glory: The Library,Author,Developmental Editing,2026-08-02T11:42:53Z,Await Developmental Editing author response/full approval
title:you re still not crazy you may be an empath dealing with a narcissist,You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist,None,Unknown,2026-07-13T10:00:56Z,Reconciliation required
title:warriors and angels liberating inner power in the journey of life,Warriors and Angels: Liberating Inner Power in the Journey of Life,None,Unknown,2026-07-13T10:00:55Z,Reconciliation required
title:your peace is a priority a devotional journal,Your Peace is a Priority: A Devotional Journal,None,Unknown,2026-07-13T10:00:55Z,Reconciliation required
title:the journey the inspiration and message behind the music,The Journey: The Inspiration and Message Behind the Music,None,Unknown,2026-07-13T10:00:54Z,Reconciliation required
title:todays s new title,todays's new title,None,Unknown,2026-07-13T10:00:54Z,Reconciliation required
title:the great hair restart the journal,The Great Hair Restart: The Journal,None,Unknown,2026-07-13T10:00:53Z,Reconciliation required
title:the essence of life love letters to christ poems of life and love from the pages of the heart,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",None,Unknown,2026-07-13T10:00:53Z,Reconciliation required
title:the great hair restart the ultimate guide to resetting your natural hair journey with confidence,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,None,Unknown,2026-07-13T10:00:53Z,Reconciliation required
title:taylor made my life my story,"Taylor Made: My Life, My Story",None,Unknown,2026-07-13T10:00:51Z,Reconciliation required
title:more than a village raising black men in america,More Than A Village: Raising Black Men in America,None,Unknown,2026-07-13T10:00:50Z,Reconciliation required
title:speech therapy works juliana s story,Speech Therapy Works!: Juliana's Story,None,Unknown,2026-07-13T10:00:50Z,Reconciliation required
title:my abcs,My ABCs,None,Unknown,2026-07-13T10:00:50Z,Reconciliation required
title:she an expose of her insufficiencies,SHE: An Expose' of Her Insufficiencies,None,Unknown,2026-07-13T10:00:50Z,Reconciliation required
title:loving the addict while taking care of yourself first,Loving the Addict: While Taking Care of Yourself First,None,Unknown,2026-07-13T10:00:49Z,Reconciliation required
title:memoir of a black christian nationalist seeds of liberation,Memoir of a Black Christian Nationalist: Seeds of Liberation,None,Unknown,2026-07-13T10:00:49Z,Reconciliation required
title:just what i needed daily devotional,Just What I Needed: Daily Devotional,None,Unknown,2026-07-13T10:00:49Z,Reconciliation required
title:mirror of refining insight an introspective look at pursuing your purpose,Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose,None,Unknown,2026-07-13T10:00:49Z,Reconciliation required
title:inspirations from god god is gooood,Inspirations from God: God is Gooood!,None,Unknown,2026-07-13T10:00:48Z,Reconciliation required
title:jewels by lady j a book of daily devotion and reflection one day at a time,Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time,None,Unknown,2026-07-13T10:00:48Z,Reconciliation required
title:connected unlocking the dna of authentic prayer 2nd edition,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,None,Unknown,2026-07-13T10:00:47Z,Reconciliation required
title:delicious ideas the legacy cookbook,Delicious Ideas!: The Legacy Cookbook,None,Unknown,2026-07-13T10:00:47Z,Reconciliation required
title:discipline and direction god s leadership style,Discipline and Direction: God's Leadership Style,None,Unknown,2026-07-13T10:00:47Z,Reconciliation required
title:divinely inspired trauma triumphed,Divinely Inspired: Trauma Triumphed,None,Unknown,2026-07-13T10:00:47Z,Reconciliation required
title:come out of hiding activating deliverance,Come Out Of Hiding: Activating Deliverance,None,Unknown,2026-07-13T10:00:46Z,Reconciliation required
title:because the lord is my shepherd psalm 23 and me,Because the Lord is My Shepherd: Psalm 23 and Me,None,Unknown,2026-07-13T10:00:45Z,Reconciliation required
title:bodacious controversial and provocative,Bodacious: Controversial and Provocative,None,Unknown,2026-07-13T10:00:45Z,Reconciliation required
title:aligned unlocking the dna of authentic faith,Aligned!: Unlocking the DNA of Authentic Faith,None,Unknown,2026-07-13T10:00:45Z,Reconciliation required
title:are you sure that you are ready a guide for vendors,Are You Sure That You Are Ready?: A Guide for Vendors,None,Unknown,2026-07-13T10:00:45Z,Reconciliation required
title:a principal s tale a self determined leader,A Principal's Tale: A Self-Determined Leader,None,Unknown,2026-07-13T10:00:44Z,Reconciliation required
title:abortion george and giovanna,Abortion!: George and Giovanna,None,Unknown,2026-07-13T10:00:44Z,Reconciliation required
title:27 days to overcoming depression debunking all the lies,27 Days to Overcoming Depression: Debunking All the Lies,None,Unknown,2026-07-13T10:00:43Z,Reconciliation required
title:the i am in me part 2 second edition,"The I Am In Me Part 2, Second Edition",None,Unknown,2026-07-13T10:00:37Z,Reconciliation required
title:the i am in me second edition,"The I Am in Me, Second Edition",None,Unknown,2026-07-13T10:00:37Z,Reconciliation required
title:the essence of life,The ESSENCE of Life,None,Unknown,2026-07-13T10:00:35Z,Reconciliation required
title:the doctrine of the last things,The Doctrine of the Last Things,None,Unknown,2026-07-13T10:00:34Z,Reconciliation required
title:grandmothers educating minds 2nd edition,"Grandmothers Educating Minds, 2nd Edition",None,Unknown,2026-07-13T10:00:10Z,Reconciliation required
title:establishing glory 3 the marriage handbook,Establishing Glory 3: The Marriage Handbook,None,Unknown,2026-07-13T10:00:05Z,Reconciliation required
title:establishing glory 2 the relationship handbook 2nd edition,Establishing Glory 2: The Relationship Handbook (2nd Edition),None,Unknown,2026-07-13T10:00:04Z,Reconciliation required
title:a trubie s guide pt 1,A Trubie's Guide Pt. 1,None,Unknown,2026-07-13T09:59:58Z,Reconciliation required
title:a trubie s guide pt 2,A Trubie's Guide Pt. 2,None,Unknown,2026-07-13T09:59:58Z,Reconciliation required
title:101 wisdom lessons for life and living,101 Wisdom Lessons for Life and Living,None,Unknown,2026-07-13T09:59:56Z,Reconciliation required
title:the intentional leader,The Intentional Leader,None,Editorial Internal QA,2026-08-10T03:33:33Z,Confirm next boundary after Editorial Internal QA
title_id:5aee90b0-9730-f111-88b4-6045bdd69738,title_id:5aee90b0-9730-f111-88b4-6045bdd69738,None,Unknown,2026-04-05T03:12:56Z,Reconciliation required
title_id:9eb5559c-9630-f111-88b4-7c1e525b15c2,title_id:9eb5559c-9630-f111-88b4-7c1e525b15c2,None,Unknown,2026-04-05T02:25:03Z,Reconciliation required
title:indomitable indomitable escaping witchcraft and finding my identity in christ,Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ,None,Stage 0 / Editorial Review,2026-08-13T01:50:23Z,Confirm next boundary after Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 0w5ptq,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-0W5PTQ,None,Stage 0 / Editorial Review,2026-08-12T11:24:22Z,Confirm next boundary after Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 422jsz,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-422JSZ,None,Stage 0 / Editorial Review,2026-08-12T11:24:21Z,Confirm next boundary after Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 3r2ett,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-3R2ETT,Jackie,Stage 0 / Editorial Review,2026-07-29T16:28:17Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 buakcy,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-BUAKCY,Jackie,Stage 0 / Editorial Review,2026-07-29T16:24:02Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 yeuskk,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-YEUSKK,Jackie,Stage 0 / Editorial Review,2026-07-29T11:38:18Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 oyzkei,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-OYZKEI,Jackie,Stage 0 / Editorial Review,2026-07-29T11:32:04Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 3vamom,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-3VAMOM,Jackie,Stage 0 / Editorial Review,2026-07-28T19:52:55Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 h851lp,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-H851LP,Jackie,Stage 0 / Editorial Review,2026-07-28T12:20:57Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 p79ywb,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-P79YWB,Jackie,Stage 0 / Editorial Review,2026-07-27T16:50:47Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 dm8f79,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-DM8F79,Jackie,Stage 0 / Editorial Review,2026-07-27T16:47:31Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 c3l2sg,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-C3L2SG,Jackie,Stage 0 / Editorial Review,2026-07-27T16:38:07Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 lqphek,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-LQPHEK,Jackie,Stage 0 / Editorial Review,2026-07-10T08:47:14Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 oxizzp,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-OXIZZP,Jackie,Stage 0 / Editorial Review,2026-07-02T20:19:00Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 6bo5z5,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-6BO5Z5,Jackie,Stage 0 / Editorial Review,2026-07-02T19:57:46Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 14g8dt,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-14G8DT,Jackie,Stage 0 / Editorial Review,2026-07-02T14:08:55Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff jmp int 202607 sj8k0p,INT-PUB-005 Stage 0 Handoff — JMP-INT-202607-SJ8K0P,Jackie,Stage 0 / Editorial Review,2026-07-02T13:56:16Z,Publisher decision for Stage 0 / Editorial Review
title:test reusable editorial diagnostic shell,TEST — Reusable Editorial Diagnostic Shell,Jackie,Stage 0 / Editorial Review,2026-07-02T12:23:03Z,Publisher decision for Stage 0 / Editorial Review
title:int pub 005 stage 0 handoff test flowd gate 003,INT-PUB-005 Stage 0 Handoff — TEST-FLOWD-GATE-003,Jackie,Stage 0 / Editorial Review,2026-07-02T12:23:02Z,Publisher decision for Stage 0 / Editorial Review
title:runner contract test,Runner Contract Test,Jackie,Stage 0 / Editorial Review,2026-07-02T12:23:02Z,Publisher decision for Stage 0 / Editorial Review
