canonical_key,title,author,real_test,current_cc010_stage,current_status,latest_completed_boundary,earliest_unresolved_boundary,waiting_on,blocker,next_action,automation_status,mutation_required
title:the never before told story of the gelatin monster,The Never Before Told Story of the Gelatin Monster,Shaniqua Williams,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the paper champ,The Paper Champ,Felix Catheline,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the messenger,The Messenger,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the master s piece,The Master's Piece,Sylvia Benson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the journey,The Journey,Rosetta Perry,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the little girl with the plow,The Little Girl with the Plow!,Christina Chislom,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the i am in me part 2,The I Am in Me Part 2,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the hood,The Hood,Randall Beverly,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the healed me,The Healed Me,Maurche Reed,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the i am in me,The I Am in Me,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the girl with the ebony locs and the three bears,The Girl with the Ebony Locs and the Three Bears,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the great hair restart,The Great Hair Restart,Karen Hill,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the flame,The Flame,Dennis Brown,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the fight for the promiseland,The Fight for the Promiseland,Cheryl Cook,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the doctrine of last things,The Doctrine of Last Things,Obadiah Harris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the essence of life love letters to christ,"The Essence of Life, Love Letters to Christ",Tracy Norris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the conquest of azenga,The Conquest of Azenga,Iyorwuese Hagher,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:the celestial advantage,The Celestial Advantage,Obadiah Harris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:taylor made,Taylor Made,Will Harris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:speech therapy works,Speech Therapy Works!,Cynthia Sloan,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:she,SHE,M Darlene Carson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:support beyond the cycle,Support Beyond the Cycle,Brandyn McElroy,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:pieces of me all over the place,Pieces of Me All Over the Place,Ashanti Flemister,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:pretty wings,Pretty Wings,Natasha Gilchrest,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:rhyming it up with church stuff,Rhyming It up with Church Stuff,Juanita Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:seasons of life,Seasons of Life,Kurt Broadnax,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:ordinary people searching for greatness,Ordinary People Searching for Greatness,Earline Neal,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:peaches can do it,Peaches Can Do It!,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:one soul,One Soul,Veronica Brown,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:number 23 and me,Number 23 and Me,Wayne Pounds,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:never give up on love,Never Give Up On Love,Pamela Smith,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:my abc s,My ABC's,Christy Grogg,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:naughty tales,Naughty Tales,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:music ministry unplugged,Music Ministry Unplugged,Will Harris,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:more than a village,More Than a Village,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:mirror of refining insight,Mirror of Refining Insight,Marvin Grayson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:memoir of a black christian nationalist,Memoir of a Black Christian Nationalist,Shelley McIntosh,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:love of my life,Love of My Life,Thaddues Smith,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:loving the addict,Loving the Addict,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:melodies from heaven,Melodies From Heaven,Bailery Cunningham,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:love lucy,Love Lucy,Diane Johnson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:life after detour,Life after Detour,Deanna Jones,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:let me tell you about it,Let Me Tell You About It,Lisa Clark,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:love is an action word,Love Is an Action Word,Kurt Broadnax,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:just what i needed,Just What I Needed,Adrean Young,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:jewels by lady j,Jewels by Lady J,Janet Stephens,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:kingdom equipment 101,Kingdom Equipment 101,Terry Stephens,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:lady daphanny s altar,Lady Daphanny's Altar,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:inspirations from god,Inspirations from God,Edith Clay,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:jalen becomes a big brother,Jalen Becomes a Big Brother,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:inner peace through life s storms,Inner Peace Through Life's Storms,KD Heard,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am sad,"Help God, I Am Sad",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:hodge podge of life,Hodge Podge of Life,Mildred Beard,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:i am my worst enemy,I Am My Worst Enemy!,Maurche Reed,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am lost,"Help God, I Am Lost",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:hop hop hop,"Hop, Hop, Hop",Tawana Mars,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am hurt,"Help God, I Am Hurt",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am lonely,"Help God, I Am Lonely",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am confused,"Help God, I Am Confused",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am angry,"Help God, I Am Angry",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am afraid,"Help God, I Am Afraid",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:help god i am the collection,"Help God, I Am - the Collection",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:have you considered my servant,Have You Considered My Servant?,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:god s business plan,God's Business Plan,Terry Stephens,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:grandmothers educating minds,Grandmothers Educating Minds,Toni Kleckley,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:god s nudge,God's Nudge,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:god s word for this world,God's Word for This World,Thomas Johnson,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:girl did you know,"Girl, Did You Know... ?",Kimberly Reeder,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:from stylist to ceo,From Stylist to CEO,Karen Hill,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:getting back 2 happy the chronicles of tabby unabridged,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:girl you re not crazy you re dealing with a narcissist,"Girl, You're Not Crazy. You're Dealing With a Narcissist",Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:getting back 2 happy,Getting Back 2 Happy,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:focus trust and follow,"Focus, Trust, & Follow",Shana Byrd,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:for what it s worth,For What It's Worth,Kelli Milligan Stammen,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory the relationship handbook,Establishing Glory: The Relationship Handbook,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory the praise and worship handbook,Establishing Glory: The Praise and Worship Handbook,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory the praise and worship handbook 2nd edition,Establishing Glory: The Praise and Worship Handbook (2nd Edition),"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory,Establishing Glory,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory 2,Establishing Glory 2,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:establishing glory 3,Establishing Glory 3,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:divinely inspired,Divinely Inspired,Regina Scales,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:destined to break the curse,Destined to Break the Curse,"Sean Smith, Sr.",REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
title:discipline and direction,Discipline and Direction,Terry Stephens,REAL_PUBLISHED_BACKLIST,Unknown,,None proven,Reconciliation required,None,Reconciliation required,Reconciliation required,NOT_COMMISSIONED,NO - dry-run evidence first
