canonical_key,title,author,classification,reason,record_count,title_id,intake_refs,sharepoint_paths
title:untitled,Untitled,Atta Boateng,REAL_ACTIVE,Known real title or live SharePoint/Dataverse editorial evidence,8,ca68c994-fd89-f111-ab10-00224820105b,JMP-INT-202607-422JSZ,https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-422JSZ%20-%20Atta%20Boateng%20-%20Untitled/01_Manuscript/Original/2026-07-30-Editorial-Review-Untitled-Package-Manifest-v1.json; https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-422JSZ%20-%20Atta%20Boateng%20-%20Untitled/01_Manuscript/Original/2026-07-30-Editorial-Review-Untitled-Editorial-Review-QA-Evidence.md; https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-422JSZ%20-%20Atta%20Boateng%20-%20Untitled/01_Manuscript/Original/2026-07-30-Editorial-Review-Untitled-Scope-and-Risk-Register.md; https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-422JSZ%20-%20Atta%20Boateng%20-%20Untitled/01_Manuscript/Original/2026-07-30-Editorial-Review-Untitled-Recommended-Editorial-Path.md; https://jmerrillfoundation.sharepoint.com/sites/publishing/Shared%20Documents/01_Pre-Pipeline/00_Inquiry/JMP-INT-202607-422JSZ%20-%20Atta%20Boateng%20-%20Untitled/01_Manuscript/Original/2026-07-30-Editorial-Review-Untitled-Editorial-Assessment.md
title:you re still not crazy,You're Still Not Crazy,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,1b2ac7e9-b389-f111-ab10-000d3a9eacee,,
title:your brain has too much what mommy,"Your brain has too much what, mommy??",Essence Easley,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,1c2ac7e9-b389-f111-ab10-000d3a9eacee,,
title:your peace is a priority,Your Peace Is a Priority,Kiena Hughley,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,2bc2cae9-b389-f111-ab10-6045bdd69435,,
title:words of a troubled soul,Words of A Troubled Soul,David Williams,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,bc4188ed-b389-f111-ab10-000d3a14673b,,
title:why faith works for some and not for others,Why Faith Works For Some And Not For Others,Rodney Waller,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,e1b26aed-b389-f111-ab10-6045bdd69738,,
title:when zuri came to earth,When Zuri Came to Earth,Gwendolyn Rucker-Carr,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,900464ec-b389-f111-ab10-7c1e525b15c2,,
title:warriors and angels,Warriors and Angels,Shelley McIntosh,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,d9f603d3-c27a-f111-ab0f-000d3a14673b,,
title:what goes up must come down let s face it,What Goes up Must Come down Let's Face It,Carol Roye,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,192ac7e9-b389-f111-ab10-000d3a9eacee,,
title:when a thug meets jesus,When a Thug Meets Jesus,Mack Hughley,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,9a4b00d4-c27a-f111-ab0f-00224820105b,,
title:warrior s breed,Warrior's Breed,Dean Wilson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,935f72d0-c27a-f111-ab0f-6045bdd69738,,
title:uncomfortable conversations with god,Uncomfortable Conversations with God,Leslie Banks,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,c9f603d3-c27a-f111-ab0f-000d3a14673b,,
title:war mother,War Mother,Winter Dockery,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,128ce1e6-b389-f111-ab10-000d3a14673b,,
title:understanding the misunderstood,Understanding the Misunderstood,Tia Benincase,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,172ac7e9-b389-f111-ab10-000d3a9eacee,,
title:the sun the shadow and the silence,"The Sun, the Shadow, and the Silence",Devin Gilchrest,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,426290ea-b389-f111-ab10-6045bdd69678,,
title:the release of the spirit,The Release of the Spirit,Lyle Goddard,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,d7f603d3-c27a-f111-ab0f-000d3a14673b,,
title:the shift,The Shift,Sean Crowley,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,112ac7e9-b389-f111-ab10-000d3a9eacee,,
title:the princess and the black eyed pea,The Princess and the Black-eyed Pea,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,9f8fefe6-b389-f111-ab10-00224820105b,,
title:the messenger 2,The Messenger 2,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,0e8ce1e6-b389-f111-ab10-000d3a14673b,,
title:the never before told story of the gelatin monster,The Never Before Told Story of the Gelatin Monster,Shaniqua Williams,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,0f8ce1e6-b389-f111-ab10-000d3a14673b,,
title:the paper champ,The Paper Champ,Felix Catheline,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,07106fd3-c27a-f111-ab0f-6045bdd69435,,
title:the messenger,The Messenger,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bfe16ae6-b389-f111-ab10-7c1e525b15c2,,
title:the master s piece,The Master's Piece,Sylvia Benson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,c3f603d3-c27a-f111-ab0f-000d3a14673b,,
title:the journey,The Journey,Rosetta Perry,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,0b2ac7e9-b389-f111-ab10-000d3a9eacee,,
title:the little girl with the plow,The Little Girl with the Plow!,Christina Chislom,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,978fefe6-b389-f111-ab10-00224820105b,,
title:the i am in me part 2,The I Am in Me Part 2,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,e9c1cae9-b389-f111-ab10-6045bdd69435,,
title:the hood,The Hood,Randall Beverly,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,c2f603d3-c27a-f111-ab0f-000d3a14673b,,
title:the healed me,The Healed Me,Maurche Reed,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,098ce1e6-b389-f111-ab10-000d3a14673b,,
title:the i am in me,The I Am in Me,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,968fefe6-b389-f111-ab10-00224820105b,,
title:the girl with the ebony locs and the three bears,The Girl with the Ebony Locs and the Three Bears,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,fe8be1e6-b389-f111-ab10-000d3a14673b,,
title:the great hair restart,The Great Hair Restart,Karen Hill,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,6,038ce1e6-b389-f111-ab10-000d3a14673b,,
title:the flame,The Flame,Dennis Brown,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,d6f603d3-c27a-f111-ab0f-000d3a14673b,,
title:the fight for the promiseland,The Fight for the Promiseland,Cheryl Cook,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,fd8be1e6-b389-f111-ab10-000d3a14673b,,
title:the doctrine of last things,The Doctrine of Last Things,Obadiah Harris,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,8d8fefe6-b389-f111-ab10-00224820105b,,
title:the essence of life love letters to christ,"The Essence of Life, Love Letters to Christ",Tracy Norris,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,8edea4e3-b389-f111-ab10-6045bdd69435,,
title:the conquest of azenga,The Conquest of Azenga,Iyorwuese Hagher,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,fc8be1e6-b389-f111-ab10-000d3a14673b,,
title:the celestial advantage,The Celestial Advantage,Obadiah Harris,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,cda6c7e3-b389-f111-ab10-000d3a9eacee,,
title:taylor made,Taylor Made,Will Harris,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,89c2a2e6-b389-f111-ab10-6045bdd69738,,
title:speech therapy works,Speech Therapy Works!,Cynthia Sloan,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bff603d3-c27a-f111-ab0f-000d3a14673b,,
title:she,SHE,M Darlene Carson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,caa6c7e3-b389-f111-ab10-000d3a9eacee,,
title:support beyond the cycle,Support Beyond the Cycle,Brandyn McElroy,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,89dea4e3-b389-f111-ab10-6045bdd69435,,
title:pieces of me all over the place,Pieces of Me All Over the Place,Ashanti Flemister,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,f68be1e6-b389-f111-ab10-000d3a14673b,,
title:pretty wings,Pretty Wings,Natasha Gilchrest,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,f78be1e6-b389-f111-ab10-000d3a14673b,,
title:rhyming it up with church stuff,Rhyming It up with Church Stuff,Juanita Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,c7a6c7e3-b389-f111-ab10-000d3a9eacee,,
title:seasons of life,Seasons of Life,Kurt Broadnax,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b73274cd-c27a-f111-ab0f-6045bdd69435,,
title:ordinary people searching for greatness,Ordinary People Searching for Greatness,Earline Neal,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,878fefe6-b389-f111-ab10-00224820105b,,
title:peaches can do it,Peaches Can Do It!,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,4be01ad3-c27a-f111-ab0f-6045bdd69678,,
title:one soul,One Soul,Veronica Brown,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,0cef73e4-b389-f111-ab10-6045bdd69678,,
title:number 23 and me,Number 23 and Me,Wayne Pounds,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,f58be1e6-b389-f111-ab10-000d3a14673b,,
title:never give up on love,Never Give Up On Love,Pamela Smith,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bfa6c7e3-b389-f111-ab10-000d3a9eacee,,
title:my abc s,My ABC's,Christy Grogg,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,d5084bcd-c27a-f111-ab0f-00224820105b,,
title:naughty tales,Naughty Tales,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,a05f72d0-c27a-f111-ab0f-6045bdd69738,,
title:music ministry unplugged,Music Ministry Unplugged,Will Harris,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,67137ed6-c27a-f111-ab0f-6045bdd69738,,
title:more than a village,More Than a Village,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,d4f603d3-c27a-f111-ab0f-000d3a14673b,,
title:mirror of refining insight,Mirror of Refining Insight,Marvin Grayson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,f48be1e6-b389-f111-ab10-000d3a14673b,,
title:memoir of a black christian nationalist,Memoir of a Black Christian Nationalist,Shelley McIntosh,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,bca6c7e3-b389-f111-ab10-000d3a9eacee,,
title:love of my life,Love of My Life,Thaddues Smith,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,9a1a04cd-c27a-f111-ab0f-000d3a14673b,,
title:loving the addict,Loving the Addict,Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,ec0f6fd3-c27a-f111-ab0f-6045bdd69435,,
title:melodies from heaven,Melodies From Heaven,Bailery Cunningham,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,7edea4e3-b389-f111-ab10-6045bdd69435,,
title:love lucy,Love Lucy,Diane Johnson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,991a04cd-c27a-f111-ab0f-000d3a14673b,,
title:life after detour,Life after Detour,Deanna Jones,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b3084bcd-c27a-f111-ab0f-00224820105b,,
title:let me tell you about it,Let Me Tell You About It,Lisa Clark,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,6909d7cb-c27a-f111-ab0f-6045bdd69678,,
title:love is an action word,Love Is an Action Word,Kurt Broadnax,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,835f72d0-c27a-f111-ab0f-6045bdd69738,,
title:just what i needed,Just What I Needed,Adrean Young,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,c27e1ee0-b389-f111-ab10-000d3a14673b,,
title:jewels by lady j,Jewels by Lady J,Janet Stephens,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,b6a6c7e3-b389-f111-ab10-000d3a9eacee,,
title:kingdom equipment 101,Kingdom Equipment 101,Terry Stephens,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,aa084bcd-c27a-f111-ab0f-00224820105b,,
title:lady daphanny s altar,Lady Daphanny's Altar,Daphanny Baker,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,ab084bcd-c27a-f111-ab0f-00224820105b,,
title:inspirations from god,Inspirations from God,Edith Clay,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,971a04cd-c27a-f111-ab0f-000d3a14673b,,
title:jalen becomes a big brother,Jalen Becomes a Big Brother,Deborah Eiland,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,c17e1ee0-b389-f111-ab10-000d3a14673b,,
title:inner peace through life s storms,Inner Peace Through Life's Storms,KD Heard,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,df0f6fd3-c27a-f111-ab0f-6045bdd69435,,
title:help god i am sad,"Help God, I Am Sad",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bc7e1ee0-b389-f111-ab10-000d3a14673b,,
title:hodge podge of life,Hodge Podge of Life,Mildred Beard,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bd7e1ee0-b389-f111-ab10-000d3a14673b,,
title:i am my worst enemy,I Am My Worst Enemy!,Maurche Reed,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,bf7e1ee0-b389-f111-ab10-000d3a14673b,,
title:help god i am lost,"Help God, I Am Lost",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b5a6c7e3-b389-f111-ab10-000d3a9eacee,,
title:hop hop hop,"Hop, Hop, Hop",Tawana Mars,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,73dea4e3-b389-f111-ab10-6045bdd69435,,
title:help god i am hurt,"Help God, I Am Hurt",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b97e1ee0-b389-f111-ab10-000d3a14673b,,
title:help god i am lonely,"Help God, I Am Lonely",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b3a6c7e3-b389-f111-ab10-000d3a9eacee,,
title:help god i am confused,"Help God, I Am Confused",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,99064bcd-c27a-f111-ab0f-00224820105b,,
title:help god i am angry,"Help God, I Am Angry",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,f05b72e0-b389-f111-ab10-7c1e525b15c2,,
title:help god i am afraid,"Help God, I Am Afraid",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,2a4097e0-b389-f111-ab10-00224820105b,,
title:help god i am the collection,"Help God, I Am - the Collection",Cheryl Travis,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,7b5f72d0-c27a-f111-ab0f-6045bdd69738,,
title:have you considered my servant,Have You Considered My Servant?,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,624797d0-c27a-f111-ab0f-7c1e525b15c2,,
title:god s business plan,God's Business Plan,Terry Stephens,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,82064bcd-c27a-f111-ab0f-00224820105b,,
title:grandmothers educating minds,Grandmothers Educating Minds,Toni Kleckley,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,294097e0-b389-f111-ab10-00224820105b,,
title:god s nudge,God's Nudge,Tekisha Wimbush,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,1c3274cd-c27a-f111-ab0f-6045bdd69435,,
title:god s word for this world,God's Word for This World,Thomas Johnson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,6b54a0dd-b389-f111-ab10-6045bdd69435,,
title:girl did you know,"Girl, Did You Know... ?",Kimberly Reeder,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,b34b00d4-c27a-f111-ab0f-00224820105b,,
title:from stylist to ceo,From Stylist to CEO,Karen Hill,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,1d4097e0-b389-f111-ab10-00224820105b,,
title:getting back 2 happy the chronicles of tabby unabridged,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,5a54a0dd-b389-f111-ab10-6045bdd69435,,
title:girl you re not crazy you re dealing with a narcissist,"Girl, You're Not Crazy. You're Dealing With a Narcissist",Carolyn Booker-Pierce,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,6454a0dd-b389-f111-ab10-6045bdd69435,,
title:getting back 2 happy,Getting Back 2 Happy,Jaylonna Stevette,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,6109d7cb-c27a-f111-ab0f-6045bdd69678,,
title:focus trust and follow,"Focus, Trust, & Follow",Shana Byrd,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,921a04cd-c27a-f111-ab0f-000d3a14673b,,
title:for what it s worth,For What It's Worth,Kelli Milligan Stammen,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b57e1ee0-b389-f111-ab10-000d3a14673b,,
title:establishing glory the relationship handbook,Establishing Glory: The Relationship Handbook,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,194097e0-b389-f111-ab10-00224820105b,,
title:establishing glory the praise and worship handbook,Establishing Glory: The Praise and Worship Handbook,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,56a0a0e0-b389-f111-ab10-6045bdd69738,,
title:establishing glory the praise and worship handbook 2nd edition,Establishing Glory: The Praise and Worship Handbook (2nd Edition),"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,1,9d8797ca-c27a-f111-ab0f-7c1e525b15c2,,
title:establishing glory,Establishing Glory,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,10,16dac7dd-b389-f111-ab10-000d3a9eacee,,
title:establishing glory 2,Establishing Glory 2,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,174097e0-b389-f111-ab10-00224820105b,,
title:establishing glory 3,Establishing Glory 3,"Jackie Smith, Jr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,2e9c7bde-b389-f111-ab10-6045bdd69678,,
title:divinely inspired,Divinely Inspired,Regina Scales,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,b27e1ee0-b389-f111-ab10-000d3a14673b,,
title:destined to break the curse,Destined to Break the Curse,"Sean Smith, Sr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,af7e1ee0-b389-f111-ab10-000d3a14673b,,
title:discipline and direction,Discipline and Direction,Terry Stephens,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,b17e1ee0-b389-f111-ab10-000d3a14673b,,
title:department of the air force mission driven leadership,Department of the Air Force: Mission Driven Leadership,USAF,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,4,3354a0dd-b389-f111-ab10-6045bdd69435,,
title:destined to break the curse devotional,Destined To Break The Curse Devotional,"Sean Smith, Sr.",REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,3654a0dd-b389-f111-ab10-6045bdd69435,,
title:delicious ideas,Delicious Ideas!,Agape International Cathedral,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,ba0402da-b389-f111-ab10-000d3a14673b,,
title:damaged,Damaged,Lisa Taylor,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,0cdac7dd-b389-f111-ab10-000d3a9eacee,,
title:conquer your fears and win,Conquer Your Fears and Win,Gloria Patterson,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,943582da-b389-f111-ab10-00224820105b,,
title:bodacious,Bodacious,Nathaniel Short,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,2,901a04cd-c27a-f111-ab0f-000d3a14673b,,
title:connected,Connected!,Dennis Brown,REAL_PUBLISHED_BACKLIST,Classified from record name/path/status evidence,3,911a04cd-c27a-f111-ab0f-000d3a14673b,,
