SOURCE_RECORD_ID,TITLE_NAME,COMMERCIAL_GATE_STATUS,EDITORIAL_GATE_STATUS,STAGE_TRUST_CLASSIFICATION,STRICTER_BOUNDARY
W1-013,Come Out Of Hiding: Activating Deliverance,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-014,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-015,Delicious Ideas!: The Legacy Cookbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-016,Discipline and Direction: God's Leadership Style,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-017,Divinely Inspired: Trauma Triumphed,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-018,Establishing Glory 2: The Relationship Handbook (2nd Edition),NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-019,Establishing Glory 3: The Marriage Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-020,Inspirations from God: God is Gooood!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-021,Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-022,Just What I Needed: Daily Devotional,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-023,Loving the Addict: While Taking Care of Yourself First,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-024,Memoir of a Black Christian Nationalist: Seeds of Liberation,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-025,Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-026,More Than A Village: Raising Black Men in America,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-027,My ABCs,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-028,SHE: An Expose' of Her Insufficiencies,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-029,Speech Therapy Works!: Juliana's Story,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-030,"Taylor Made: My Life, My Story",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-031,The Doctrine of the Last Things,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-032,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-033,The Great Hair Restart: The Journal,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-034,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-035,"The I Am In Me Part 2, Second Edition",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-036,"The I Am in Me, Second Edition",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-037,The Journey: The Inspiration and Message Behind the Music,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-038,todays's new title,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-039,Warriors and Angels: Liberating Inner Power in the Journey of Life,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-040,You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-041,Your Peace is a Priority: A Devotional Journal,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-042,Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-043,JM1 Synthetic Intake Fetch Proof 20260727165010,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-044,JM1 Synthetic Intake SEV1 Proof 20260727163730,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-045,JM1 Synthetic Intake SEV1 Proof 20260727164554,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-046,New Book Test,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-047,The Long Watch - Intake Success Validation,NOT_APPLICABLE,NOT_APPLICABLE,RECONCILIATION_REQUIRED,NONE
W1-048,100 Wisdom Lessons for Life and Living,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-049,100 Wisdom Lessons for Life and Living,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-050,100 Wisdom Lessons for Life and Living,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-051,100 Wisdom Lessons for Life and Living,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-052,7 Step Jumpstart to Becoming Your Best Self,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-053,7 Step Jumpstart to Becoming Your Best Self,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-054,A Little Bit of Everything,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-055,A Portrait of Paradise,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-056,A Portrait of Paradise,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-057,"A Truebies Guide, Part 1",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-058,"A Truebies Guide, Part 1",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-059,"A Truebies Guide, Part 1",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-060,"A Truebies Guide, Part 2",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-061,"A Truebies Guide, Part 2",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-062,"A Truebies Guide, Part 2",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-063,Abortion!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-064,According to Mark,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-065,Aligned!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-066,Almost Happy,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-067,Almost Happy,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-068,Because the Lord is My Shepherd,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-069,Come Out of Hiding,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-070,Come Out of Hiding,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-071,Come Out of Hiding,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-072,Connected!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-073,Connected!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-074,Damaged,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-075,Delicious Ideas!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-076,Delicious Ideas!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-077,Department of the Air Force Mission Driven Leadership,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-078,Department of the Air Force Mission Driven Leadership,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-079,Department of the Air Force: Mission Driven Leadership,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-080,Department of the Air Force: Mission Driven Leadership,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-081,Destined to Break the Curse Devotional,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-082,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-083,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-084,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-085,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-086,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-087,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-088,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-089,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-090,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-091,Establishing Glory,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-092,Establishing Glory 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-093,Establishing Glory 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-094,Establishing Glory 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-095,Establishing Glory 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-096,Establishing Glory 3,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-097,Establishing Glory 3,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-098,Establishing Glory 3,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-099,Establishing Glory 3,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-100,Establishing Glory: The Praise and Worship Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-101,Establishing Glory: The Praise and Worship Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-102,Establishing Glory: The Praise and Worship Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-103,Establishing Glory: The Relationship Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-104,Establishing Glory: The Relationship Handbook,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-105,"Focus, Trust, & Follow",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-106,Getting Back 2 Happy,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-107,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-108,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-109,"Girl, Did You Know...?",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-110,"Girl, Did You Know…?",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-111,"Girl, You're Not Crazy. You're Dealing With a Narcissist",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-112,God’s Business Plan,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-113,God's Nudge,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-114,God's Word For This World,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-115,God’s Word For This World,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-116,Grandmothers Educating Minds,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-117,Have You Considered My Servant?,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-118,"Help God, I Am - the Collection",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-119,"Help God, I Am - The Collection",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-120,"Help God, I Am Afraid",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-121,"Help God, I Am Angry",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-122,"Help God, I Am Confused",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-123,"Help God, I Am Hurt",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-124,"Help God, I Am Lonely",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-125,"Help God, I Am Lost",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-126,"Help God, I Am Sad",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-127,"Hop, Hop, Hop",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-128,"Hop, Hop, Hop",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-129,"Hop, Hop, Hop",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-130,Inner Peace Through Life's Storms,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-131,Inner Peace Through Life's Storms,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-132,Inspirations from God,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-133,Just What I Needed,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-134,Let Me Tell You about It,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-135,Loving the Addict,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-136,Melodies from Heaven,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-137,Melodies From Heaven,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-138,More Than A Village,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-139,Naughty Tales,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-140,Naughty Tales,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-141,Peaches Can Do It!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-142,Pretty Wings,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-143,Pretty Wings,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-144,Rhyming It up with Church Stuff,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-145,Rhyming It up with Church Stuff,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-146,Rhyming It up with Church Stuff,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-147,She,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-148,Speech Therapy Works!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-149,The Celestial Advantage,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-150,The Conquest of Azenga,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-151,The Conquest of Azenga,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-152,The Doctrine of Last Things,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-153,The Doctrine of Last Things,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-154,The Doctrine of Last Things,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-155,"The Essence of Life, Love Letters to Christ",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-156,The Fight for the Promiseland,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-157,The Flame,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-158,The I Am in Me,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-159,The I Am in Me,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-160,The I Am in Me,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-161,The I Am in Me Part 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-162,The I Am in Me Part 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-163,The I Am in Me Part 2,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-164,The Journey,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-165,The Little Girl with the Plow,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-166,The Little Girl with the Plow!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-167,The Little Girl with the Plow!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-168,The Little Girl with the Plow!,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-169,The Never Before Told Story of the Gelatin Monster,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-170,The Paper Champ,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-171,What Goes up Must Come down Let's Face It,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-172,You're Still Not Crazy,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-173,"Your brain has too much what, mommy",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-174,"Your Brain Has Too Much What, Mommy??",NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-175,JM1 Duplicate Proof 20260727173641,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-176,JM1 Preview Synthetic Artifact A,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-177,JM1 Preview Synthetic Artifact B,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-178,JM1 Synthetic Intake Final Proof 20260727170349,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-179,JM1 Synthetic Intake Final Proof 20260727172010,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-180,JM1 Synthetic Intake Restored Proof 20260727173332,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-181,GATE-W1 App Service Staging DOCX Join 1785342161378,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-182,GATE-W1 App Service Staging Long DOCX Join 1785342346355,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-183,GATE-W1 App Service Staging Multipart Join 1785341972350,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-184,GATE-W1 App Service Staging Positive Join 1785341427544,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-185,GATE-W1 Synthetic Certification Manuscript 20260729,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-186,GATE-W1 Synthetic Recommendation Manuscript 20260729,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-187,'TIL DEATH DO US PART,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-188,Untitled,NOT_APPLICABLE,NOT_APPLICABLE,LEGACY_GOVERNED_EXCEPTION,NONE
W1-189,27 Days to Overcoming Depression,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
W1-190,365 Days Of Transparency,NOT_APPLICABLE,NOT_APPLICABLE,INSUFFICIENT_TRANSITION_EVIDENCE,NONE
