decisionType,author,title,manifestRowNumber,amountAffected,recommendedAction,consequence,alternatives
JACKIE IDENTITY DECISION,Lisa Taylor,Damaged,52,20.94,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Lyle Goddard,The Release of the Spirit,53,3.65,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Mack Hughley,When A Thug Meets Jesus,54,2.62,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Mildred Beard,Hodge Podge of Life,55,3.98,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Mildred Beard,Hodge Podge of Life,56,4.50,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Nathaniel Short,Bodacious: Controversial and Provocative,57,2.33,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Pamela Smith,Never Give Up On Love,58,2.80,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Rosetta Perry,The Journey: The Inspiration and Message Behind the Music,59,4.30,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Sean Smith Sr,Destined To Break The Curse Devotional,60,4.30,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Shana Byrd,"Focus, Trust, & Follow",61,2.58,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Shana Byrd,"Focus, Trust, & Follow",62,2.53,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,A Principal's Tale: A Self-Determined Leader,63,5.12,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,Warriors and Angels: Liberating Inner Power in the Journey of Life,64,5.12,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,Memoir of a Black Christian Nationalist: Seeds of Liberation,65,5.12,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,A Principal's Tale: A Self-Determined Leader,66,3.93,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,Warriors and Angels: Liberating Inner Power in the Journey of Life,67,3.93,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Shelley McIntosh,Memoir of a Black Christian Nationalist: Seeds of Liberation,68,3.93,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Tawonna Mars,"Hop, Hop, Hop",69,0.15,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Tekisha Wimbush,God's Nudge,70,4.81,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Terry Stephens,God's Business Plan,71,1.90,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Terry Stephens,Biblical Prescriptions For Lifeís Troubles,72,1.90,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Terry Stephens,God's Business Plan,73,3.61,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Terry Stephens,Biblical Prescriptions For Lifeís Troubles,74,3.61,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Thomas Johnson,God's Word For This World,75,4.93,Canonical title field contains multiple possible Core title IDs; publisher must select the single canonical work before draft statement loading.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Tracy Norris,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",76,1.72,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Wayne Pounds,Number 23 and Me,77,0.98,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Will Harris,"Taylor Made: My Life, My Story",78,5.40,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Will Harris,Music Ministry Unplugged: Real Lessons for Those who Lead and Serve in Music Ministry,79,5.40,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Will Harris,"Taylor Made: My Life, My Story",80,59.14,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Will Harris,Music Ministry Unplugged: Real Lessons for Those who Lead and Serve in Music Ministry,81,59.14,Manifest title could not be mapped to exactly one canonical title under approved crosswalk.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE IDENTITY DECISION,Winter Dockery,War Mother,82,3.58,"Canonical title is available, but author/contact/payee identity is not safe for automatic royalty linkage.","If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jaylonna Stevette,Getting Back 2 Happy: The Chronicles of Tabby,83,3.53,Both title and/or contact evidence require publisher confirmation; title ambiguity is the primary blocker.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,"Shelley McIntosh Ed D, EdD",Memoir of a Black Christian Nationalist: Seeds of Liberation,84,4.93,Both title and/or contact evidence require publisher confirmation; title ambiguity is the primary blocker.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,"Shelley McIntosh Ed D, EdD",Memoir of a Black Christian Nationalist: Seeds of Liberation,85,2.59,Both title and/or contact evidence require publisher confirmation; title ambiguity is the primary blocker.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
JACKIE TITLE DECISION,Jaylonna Stevette,Getting Back 2 Happy: The Chronicles of Tabby,86,2.22,Both title and/or contact evidence require publisher confirmation; title ambiguity is the primary blocker.,"If approved/resolved, row can be evaluated for draft statement loading; if rejected, row remains excluded/held with documented reason.",Approve mapping; correct mapping; exclude as duplicate/non-royalty; hold for missing source.
PAYMENT ALLOCATION REQUIRED,Sean Crowley,,,-650.0,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Sean Crowley,,,-460.0,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,J Derrick Johnson,,,-15.52,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,J Derrick Johnson,,,-1785.87,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Will Harris,,,-141.41,"Payee appears in royalty manifest, but current evidence is not sufficient to allocate payment to statement or period.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Sean Crowley,,,-100.0,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
PAYMENT ALLOCATION REQUIRED,Sean Crowley,,,-640.0,"Payee appears in the author register, but there is no matching loaded 2026 royalty statement in this source package.",No payment will be applied to a draft royalty statement until allocation is approved.,Match to statement; match to period; classify non-royalty; mark duplicate; leave unresolved.
