legacy_sku,legacy_name,legacy_price,category,matrix_v11_equivalent,conflict (yes/no + detail),proposed_disposition,jackie_ruling,notes
JMP-AUTH-MEDIA,Speaking & Media Kit,$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTH-PHOTO,Headshot Optimization,$95,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTH-PORTAL,Author Portal (Power Apps),$995,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTH-PROFILE,Enhanced Author Page,$395,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTH-WEB,Author Website / Campaign Hub,"$2,500",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-AUTHCOPY-HC,| Priced at IngramSpark cost. Ordered through IS or LSI.,Cost + ship,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-AUTHCOPY-PB,| Priced at IngramSpark cost. Ordered through IS or LSI.,Cost + ship,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-BOOK-AUDIO,Audiobook (retail) — CoreSource primary,Per title,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-BOOK-EB,| All eBooks route through CoreSource exclusively.,Per title,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-BOOK-HC,| Individual title: BOOK-[AUTHOR]-[TITLE]-HC | Example: BOOK-SMITH-GLORY-HC,Per title,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE; AUTHOR."
JMP-BOOK-PB,| Individual title: BOOK-[AUTHOR]-[TITLE]-PB | Example: BOOK-SMITH-GLORY-PB,Per title,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE; AUTHOR."
JMP-CAT-ANALYTICS,Sales Analytics Report,$150,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CAT-AUDIT,Backlist Metadata Audit,$249,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CAT-METADATA,Metadata Optimization,$199,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CAT-PRICING,Book Pricing Strategy,$150,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CAT-REVISION,Revised Edition Service,$395,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CHILD-ILLUS,Children's Book Illustration,$150–$350/illus,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-CHILD-LAYOUT,Illustrated Book Layout,$595,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-CHILD-PROD,Illustrated Production Setup,$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DES-COVER,Professional Cover Design,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-COVER-ADAPT,Cover Adaptation (new format),$95–$150,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DES-COVER-PREM,Premium Cover Design,$895,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-DEVOTIONAL,Devotional / Curriculum Formatting,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-EBOOK,eBook Conversion,$195,Uncategorized,JMP-EDT-EB-STD,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,SUPERSEDED,,"Legacy ebook conversion appears superseded by Matrix eBook edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-HARDCOVER,Hardcover Formatting,$195,Uncategorized,JMP-EDT-HC-STD,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,SUPERSEDED,,"Legacy hardcover design/production add-on appears superseded by Matrix Hardcover edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-ILLUSTRATION,Illustration Integration,$150,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DES-LARGEPRINT,Large Print Formatting,$195,Uncategorized,JMP-EDT-LP-STD,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,SUPERSEDED,,"Known conflict: legacy $195 large print design versus Matrix $350 Large Print edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-LAYOUT,Interior Layout & Typesetting,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DES-PRINT-ADD,Additional Print Format (HC/LP),$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DES-PROOF-PRINT,Physical Print Proof (+ cost/shipping),$45–$75 + cost,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DES-REVISION,Interior Revision (Post-Layout),$150 / $75/hr,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DIST-ANNUAL,Annual Distribution & Maintenance,$49/title,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-BULK,Bulk Author Copy Order Support,$95,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-CHURCH,Church Bookstore Placement,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-CONFERENCE,Conference & Event Sales Setup,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-FAITH,Faith Market Distribution (CBA),$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-LIBRARY,Expanded Library Distribution,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-DIST-LSI-UPGRADE,LSI Distribution Upgrade,$125,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-DIST-TRANSFER,Title Transfer / Republishing,$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-EDIT-COPY,Copy Editing,$0.035/word,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-EDIT-DEV,Developmental Editing,$0.08/word,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-EDIT-EVAL,Manuscript Evaluation,$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-EDIT-LINE,Line Editing,$0.05/word,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-EDIT-PROOF,Proofreading,$0.02/word,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-EDU-BIBLESTUDY,Bible Study Kit Creation,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-EDU-COURSE,Self-Paced Publishing Course,$197,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-EDU-WORKSHOP,Author Workshop (Virtual),$97/attendee,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-GHOST-ANTHOLOGY,Anthology Creation,TBD,Uncategorized,,no - provisional/non-public activation pending,PROVISIONAL,,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: ACTIVE.
JMP-GHOST-EXTENDED,Ghostwriting – Extended (50K–75K words),"$25,000",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-GHOST-PREMIUM,Ghostwriting – Premium (75K–100K words),"$35,000",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-GHOST-SHORT,Ghostwriting – Short (10K–25K words),"$7,500",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-GHOST-STANDARD,Ghostwriting – Standard (25K–50K words),"$15,000",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-LEGAL-COPYRIGHT,Copyright Registration Filing,$95–$125,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-LEGAL-REVIEW,Publishing Agreement Review,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-ADSMGT,Ads Guidance (monthly),$250/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-ADSSET,Ads Setup (Amazon/Meta/Google),$350,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-ARC,ARC Campaign Management,$650,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-DESC,Book Description & Sales Copy,$195,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-INGRAMADS,Ingram iD Campaign Setup,$195–$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-LAUNCH,Launch Strategy Session,$395,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-LAUNCHKIT,Complete Launch Strategy Plan,"$1,995",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-PREORDER,Pre-Order Campaign Setup,$195–$295,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-PRESS,Press Release Distribution,$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-REELS,Short-Form Video Kit (BookTok/Reels),$495,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-SERIAL,Serialization Strategy,$195,Uncategorized,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,yes - legacy marketing serial service scope conflicts or overlaps with Matrix serialized release programs,MIGRATE-AMENDED,,Jackie review required: determine distinct advisory service versus superseded serialized release SKU. Sources: full_catalog. Status: ACTIVE.
JMP-MKT-SOCIAL,Social Strategy & Content Kit,$395,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-OPS-RUSH,Rush Production Upgrade,+25%,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-PARTNER-PARTNER,Publishing Partner (≤2 titles/yr),"$9,000/yr",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-PARTNER-SIGNATURE,Signature Author (≤3 titles/yr),"$15,000/yr",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-PKG-CHILD,Children's Package (author provides art),"$2,495",Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-PKG-PRO,and JMP-PKG-SIGNATURE. Add-on upsell for JMP-PKG-STARTER (,"$4,500",Uncategorized,JMP-PKG-PRO,no,MIGRATE-AS-IS,,"Exact SKU exists in Matrix v1.1 (Professional $4,500). Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-PKG-SIGNATURE,Signature Publishing Partnership (≤100K words),"$7,500",Uncategorized,JMP-PKG-PREMIER / JM Signature funding track,yes - legacy package conflates package tier with Traditional/JM Signature track,SUPERSEDED,,"Matrix separates Premier package from JM Signature funding track. Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-PKG-STARTER,Starter Publishing Package (≤50K words),"$1,999",Uncategorized,JMP-PKG-STARTER,no,MIGRATE-AS-IS,,"Exact SKU exists in Matrix v1.1 (Starter $1,999). Sources: full_catalog, reference_guide. Status: ACTIVE."
JMP-POST-ROYALTY,Royalty Dashboard,Incl. (subs),Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-RIGHTS-CATALOG,Rights Catalog Creation,$750,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-RIGHTS-FILM,Film/TV Rights Representation,20%,Uncategorized,,no - provisional/non-public activation pending,PROVISIONAL,,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
JMP-RIGHTS-FOREIGN,Foreign Rights Representation,20%,Uncategorized,,no - provisional/non-public activation pending,PROVISIONAL,,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
JMP-RIGHTS-MINISTRY,Ministry Bulk Licensing,20%,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-AI,AI Plan (incl. dashboard),$249/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-COMMUNITY,Community,$79/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-MARKETING,Marketing (incl. dashboard),$199/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
JMP-SUB-SUPPORT,Support (incl. royalty dashboard),$149/mo,Uncategorized,,no Matrix v1.1 equivalent identified,MIGRATE-AS-IS,,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
