line_trace_id,source_anchor,line_edit_anchor,copyediting_status,copyediting_impact,proofreading_implication
,,January 26 — The Exhaustion of Avoidance,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,January 27 — Healing the Inner Taskmaster,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,January 28 — The Wisdom Gained Through Survival,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,January 29 — The Nervous System’s Longing for Safety,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,January 30 — The Humility Required to Grow,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,January 31 — Becoming the Person You Needed Earlier,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 1 — The Quiet Formation of Identity,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 2 — The Loneliness Hidden Inside Competence,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 3 — The Fear of Feeling Too Much,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 4 — The Fear of Silence,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 5 — Escaping Autopilot Living,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 6 — The Identity Built Around Carrying Too Much,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 7 — Returning to the Moment You’re Actually Living,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 8 — The Exhaustion of Emotional Fragmentation,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 9 — The Fear of What Clarity Might Require,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 10 — The Exhaustion of Always Being the Strong One,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 11 — Healing the Fear of Falling Behind,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 12 — The Emotional Cost of Constant Stimulation,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 13 — The Fear of Being Fully Seen,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 14 — The Courage to Be Tender,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 15 — Returning to the Room,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 16 — The Humility of Being Held,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 17 — Unbracing the Heart,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 18 — The Truth Beneath the Armor,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 19 — The Grace to Come Back,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 20 — Rooted Under Pressure,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 23 — When the Fog Begins to Lift,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,February 28 — The Sacred Open Hand,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 1 — When the Inner Dawn Returns,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 2 — Enough to Begin,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 3 — Movement Without Abandonment,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 4 — The Mercy of One Thing,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 5 — Making Room for Peace,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 6 — The First Obedient Step,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 7 — The Body Learns by Return,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 8 — The Mercy of the Present Moment,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 9 — Hearing Beneath the Noise,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 10 — Fresh Strength for a True Assignment,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 11 — When Control Feels Safer Than Faith,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 12 — The Quiet Covenant of Repetition,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 13 — The Larger Story,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 14 — Tenderness Without Collapse,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 15 — Loved Before Labor,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 16 — The Weight That Belongs to You,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 17 — Soft After the Storm,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 18 — The Quiet Authority of Discernment,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 19 — What Has Been Placed in Your Hands,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 20 — The First Green Thing,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 21 — The Whole Life Matters,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 22 — The Altar Beneath the Work,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 23 — The Spine of the Soul,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 28 — Making Room for What Is Coming,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 29 — The Table of Belonging,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 30 — Closing the Loop with Grace,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
,,March 31 — Crossing Without Carrying Everything,Reviewed in CAP-003,Mechanics/consistency only; no line-editing reversal.,Verify line-edited and copyedited text after layout.
