Choice Set,Internal Code,Display Label,Definition,Permitted Use,Prohibited Use,Author-Facing Visibility,Status
"Title Summary State","EDITORIAL","EDITORIAL","Calculated title-level summary state EDITORIAL.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","PRODUCTION_NOT_STARTED","PRODUCTION NOT STARTED","Calculated title-level summary state PRODUCTION_NOT_STARTED.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","PRODUCTION_IN_PROGRESS","PRODUCTION IN PROGRESS","Calculated title-level summary state PRODUCTION_IN_PROGRESS.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","AWAITING_AUTHOR","AWAITING AUTHOR","Calculated title-level summary state AWAITING_AUTHOR.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","PARTIALLY_RELEASED","PARTIALLY RELEASED","Calculated title-level summary state PARTIALLY_RELEASED.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","FULLY_RELEASED","FULLY RELEASED","Calculated title-level summary state FULLY_RELEASED.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","ON_HOLD","ON HOLD","Calculated title-level summary state ON_HOLD.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","CANCELLED","CANCELLED","Calculated title-level summary state CANCELLED.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Title Summary State","RETIRED","RETIRED","Calculated title-level summary state RETIRED.","Use as title aggregate/projection from edition states and evidence.","Do not use as a substitute for PF state or execution-log evidence.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Product Form","PF-01","eBook","PF-01 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-02","Paperback","PF-02 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-03","Hardcover","PF-03 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-04","Audiobook","PF-04 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-05","Large Print","PF-05 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-06","Accessible Digital","PF-06 product form per canonical design.","Commercially eligible when catalog and contract authority exist.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Product Form","PF-07","Schema Inert","PF-07 product form per canonical design.","Schema-only/inert reference, no sellable catalog row.","Do not create sellable edition or catalog item.","HIDDEN","ACTIVE"
"Product Form","PF-08","Interactive / Multimedia","PF-08 product form per canonical design.","Active only with approved SOW/scope gate.","Do not bypass catalog/contract authority.","PROJECTED_ONLY","ACTIVE"
"Publishing Track","STANDARD","STANDARD","Publishing track STANDARD.","Use when title authority selects this track.","Do not imply schedule commitments without release plan and propagation lead.","PROJECTED_ONLY","ACTIVE"
"Publishing Track","EXPEDITED","EXPEDITED","Publishing track EXPEDITED.","Use when title authority selects this track.","Do not imply schedule commitments without release plan and propagation lead.","PROJECTED_ONLY","ACTIVE"
"Publishing Track","SEASONAL","SEASONAL","Publishing track SEASONAL.","Use when title authority selects this track.","Do not imply schedule commitments without release plan and propagation lead.","PROJECTED_ONLY","ACTIVE"
"Publishing Track","CUSTOM_SOW","CUSTOM SOW","Publishing track CUSTOM_SOW.","Use when title authority selects this track.","Do not imply schedule commitments without release plan and propagation lead.","PROJECTED_ONLY","ACTIVE"
"Publishing Track","INTERNAL_REHEARSAL","INTERNAL REHEARSAL","Publishing track INTERNAL_REHEARSAL.","Use when title authority selects this track.","Do not imply schedule commitments without release plan and propagation lead.","PROJECTED_ONLY","ACTIVE"
"Release Model","SINGLE_RELEASE","SINGLE RELEASE","Release model SINGLE_RELEASE.","Use when approved for title/release plan.","Do not auto-create release-plan rows until entity decision is approved.","PROJECTED_ONLY","ACTIVE"
"Release Model","STAGED_RELEASE","STAGED RELEASE","Release model STAGED_RELEASE.","Use when approved for title/release plan.","Do not auto-create release-plan rows until entity decision is approved.","PROJECTED_ONLY","ACTIVE"
"Release Model","COMPANION_RELEASE","COMPANION RELEASE","Release model COMPANION_RELEASE.","Use when approved for title/release plan.","Do not auto-create release-plan rows until entity decision is approved.","PROJECTED_ONLY","ACTIVE"
"Release Model","CORRECTION_RELEASE","CORRECTION RELEASE","Release model CORRECTION_RELEASE.","Use when approved for title/release plan.","Do not auto-create release-plan rows until entity decision is approved.","PROJECTED_ONLY","ACTIVE"
"Release Model","INTERNAL_REHEARSAL","INTERNAL REHEARSAL","Release model INTERNAL_REHEARSAL.","Use when approved for title/release plan.","Do not auto-create release-plan rows until entity decision is approved.","PROJECTED_ONLY","ACTIVE"
"Production Mode","MANUAL","MANUAL","Production mode MANUAL.","Use to record governing production posture.","Do not activate client-title automation; current production is manual.","INTERNAL_ONLY","ACTIVE"
"Production Mode","PROTECTED_RUNTIME","PROTECTED RUNTIME","Production mode PROTECTED_RUNTIME.","Use to record governing production posture.","Do not activate client-title automation; current production is manual.","INTERNAL_ONLY","ACTIVE"
"Production Mode","AUTOMATION_FROZEN","AUTOMATION FROZEN","Production mode AUTOMATION_FROZEN.","Use to record governing production posture.","Do not activate client-title automation; current production is manual.","INTERNAL_ONLY","ACTIVE"
"Production Mode","INTERNAL_REHEARSAL","INTERNAL REHEARSAL","Production mode INTERNAL_REHEARSAL.","Use to record governing production posture.","Do not activate client-title automation; current production is manual.","INTERNAL_ONLY","ACTIVE"
"Narration Method","HUMAN_NARRATOR","HUMAN NARRATOR","Narration method HUMAN_NARRATOR.","Use for PF-04/audiobook planning after authority.","Do not expose AI method unless author-facing disclosure authority exists.","PROJECTED_ONLY","ACTIVE"
"Narration Method","AI_ASSISTED_APPROVED","AI ASSISTED APPROVED","Narration method AI_ASSISTED_APPROVED.","Use for PF-04/audiobook planning after authority.","Do not expose AI method unless author-facing disclosure authority exists.","PROJECTED_ONLY","ACTIVE"
"Narration Method","NOT_APPLICABLE","NOT APPLICABLE","Narration method NOT_APPLICABLE.","Use for PF-04/audiobook planning after authority.","Do not expose AI method unless author-facing disclosure authority exists.","PROJECTED_ONLY","ACTIVE"
"Narration Method","SOW_REQUIRED","SOW REQUIRED","Narration method SOW_REQUIRED.","Use for PF-04/audiobook planning after authority.","Do not expose AI method unless author-facing disclosure authority exists.","PROJECTED_ONLY","ACTIVE"
"Large-Print Complexity","STANDARD","STANDARD","Large-print complexity STANDARD.","Use for PF-05 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Large-Print Complexity","COMPLEX","COMPLEX","Large-print complexity COMPLEX.","Use for PF-05 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Large-Print Complexity","SOW_REQUIRED","SOW REQUIRED","Large-print complexity SOW_REQUIRED.","Use for PF-05 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Large-Print Complexity","NOT_APPLICABLE","NOT APPLICABLE","Large-print complexity NOT_APPLICABLE.","Use for PF-05 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Accessibility Complexity","STANDARD","STANDARD","Accessibility complexity STANDARD.","Use for PF-06 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Accessibility Complexity","ENHANCED","ENHANCED","Accessibility complexity ENHANCED.","Use for PF-06 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Accessibility Complexity","SOW_REQUIRED","SOW REQUIRED","Accessibility complexity SOW_REQUIRED.","Use for PF-06 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Accessibility Complexity","NOT_APPLICABLE","NOT APPLICABLE","Accessibility complexity NOT_APPLICABLE.","Use for PF-06 planning.","Do not create false sub-forms.","INTERNAL_ONLY","ACTIVE"
"Interaction Complexity","STANDARD","STANDARD","Interactive complexity STANDARD.","Use for PF-08 scope planning.","Do not quote or produce PF-08 without SOW gate.","INTERNAL_ONLY","ACTIVE"
"Interaction Complexity","ADVANCED","ADVANCED","Interactive complexity ADVANCED.","Use for PF-08 scope planning.","Do not quote or produce PF-08 without SOW gate.","INTERNAL_ONLY","ACTIVE"
"Interaction Complexity","SOW_REQUIRED","SOW REQUIRED","Interactive complexity SOW_REQUIRED.","Use for PF-08 scope planning.","Do not quote or produce PF-08 without SOW gate.","INTERNAL_ONLY","ACTIVE"
"Interaction Complexity","NOT_APPLICABLE","NOT APPLICABLE","Interactive complexity NOT_APPLICABLE.","Use for PF-08 scope planning.","Do not quote or produce PF-08 without SOW gate.","INTERNAL_ONLY","ACTIVE"
"Visibility","PUBLIC","PUBLIC","Visibility PUBLIC.","Use for catalog/status surfaces by policy.","Do not expose internal states or execution identifiers.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Visibility","CONDITIONAL","CONDITIONAL","Visibility CONDITIONAL.","Use for catalog/status surfaces by policy.","Do not expose internal states or execution identifiers.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Visibility","INTERNAL_ONLY","INTERNAL ONLY","Visibility INTERNAL_ONLY.","Use for catalog/status surfaces by policy.","Do not expose internal states or execution identifiers.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Visibility","HIDDEN","HIDDEN","Visibility HIDDEN.","Use for catalog/status surfaces by policy.","Do not expose internal states or execution identifiers.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Quoting Status","QUOTABLE","QUOTABLE","Quoting status QUOTABLE.","Use from Slice 2 commercial authority.","Do not override catalog authority from Slice 3 planning.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Quoting Status","SOW_GATED","SOW GATED","Quoting status SOW_GATED.","Use from Slice 2 commercial authority.","Do not override catalog authority from Slice 3 planning.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Quoting Status","NOT_QUOTABLE","NOT QUOTABLE","Quoting status NOT_QUOTABLE.","Use from Slice 2 commercial authority.","Do not override catalog authority from Slice 3 planning.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Quoting Status","INTERNAL_ONLY","INTERNAL ONLY","Quoting status INTERNAL_ONLY.","Use from Slice 2 commercial authority.","Do not override catalog authority from Slice 3 planning.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Contract Status","CONTRACTABLE","CONTRACTABLE","Contract status CONTRACTABLE.","Use from Slice 2/catalog authority and contract policy.","Do not reactivate superseded legacy SKU.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Contract Status","CONTRACTABLE_AFTER_APPROVED_SCOPE","CONTRACTABLE AFTER APPROVED SCOPE","Contract status CONTRACTABLE_AFTER_APPROVED_SCOPE.","Use from Slice 2/catalog authority and contract policy.","Do not reactivate superseded legacy SKU.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Contract Status","NOT_CONTRACTABLE","NOT CONTRACTABLE","Contract status NOT_CONTRACTABLE.","Use from Slice 2/catalog authority and contract policy.","Do not reactivate superseded legacy SKU.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Contract Status","SUPERSEDED","SUPERSEDED","Contract status SUPERSEDED.","Use from Slice 2/catalog authority and contract policy.","Do not reactivate superseded legacy SKU.","PUBLIC_OR_INTERNAL_BY_POLICY","ACTIVE"
"Correction Status","NONE","NONE","Correction status NONE.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","REQUESTED","REQUESTED","Correction status REQUESTED.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","AUTHORIZED","AUTHORIZED","Correction status AUTHORIZED.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","IN_PROGRESS","IN PROGRESS","Correction status IN_PROGRESS.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","COMPLETED","COMPLETED","Correction status COMPLETED.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","CLOSED","CLOSED","Correction status CLOSED.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"Correction Status","REJECTED","REJECTED","Correction status REJECTED.","Use only with correction evidence.","Do not route back into production after approval/live without CORRECTION_AUTHORIZED.","PROJECTED_ONLY","ACTIVE"
"QA Status","NOT_STARTED","NOT STARTED","QA status NOT_STARTED.","Use for edition output QA.","Do not skip QA silently.","INTERNAL_ONLY","ACTIVE"
"QA Status","IN_PROGRESS","IN PROGRESS","QA status IN_PROGRESS.","Use for edition output QA.","Do not skip QA silently.","INTERNAL_ONLY","ACTIVE"
"QA Status","PASSED","PASSED","QA status PASSED.","Use for edition output QA.","Do not skip QA silently.","INTERNAL_ONLY","ACTIVE"
"QA Status","FAILED","FAILED","QA status FAILED.","Use for edition output QA.","Do not skip QA silently.","INTERNAL_ONLY","ACTIVE"
"QA Status","WAIVED_BY_AUTHORITY","WAIVED BY AUTHORITY","QA status WAIVED_BY_AUTHORITY.","Use for edition output QA.","Do not skip QA silently.","INTERNAL_ONLY","ACTIVE"
"Author Review Status","NOT_REQUIRED","NOT REQUIRED","Author review status NOT_REQUIRED.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Author Review Status","PENDING","PENDING","Author review status PENDING.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Author Review Status","REQUESTED","REQUESTED","Author review status REQUESTED.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Author Review Status","APPROVED","APPROVED","Author review status APPROVED.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Author Review Status","CHANGES_REQUESTED","CHANGES REQUESTED","Author review status CHANGES_REQUESTED.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Author Review Status","PUBLISHER_DISPOSITIONED","PUBLISHER DISPOSITIONED","Author review status PUBLISHER_DISPOSITIONED.","Use for author review tracking.","Do not create false overdue/response clock claims.","AUTHOR_SAFE_LABEL_ALLOWED","ACTIVE"
"Distribution Status","NOT_READY","NOT READY","Distribution status NOT_READY.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Distribution Status","READY","READY","Distribution status READY.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Distribution Status","SUBMITTED","SUBMITTED","Distribution status SUBMITTED.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Distribution Status","ACCEPTED","ACCEPTED","Distribution status ACCEPTED.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Distribution Status","REJECTED","REJECTED","Distribution status REJECTED.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Distribution Status","CONFIRMED_LIVE","CONFIRMED LIVE","Distribution status CONFIRMED_LIVE.","Use for distribution readiness/job state.","Do not mark live without readback evidence.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","AUTHOR_INPUT","AUTHOR INPUT","Hold reason AUTHOR_INPUT.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","EDITORIAL_BLOCKER","EDITORIAL BLOCKER","Hold reason EDITORIAL_BLOCKER.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","PRODUCTION_BLOCKER","PRODUCTION BLOCKER","Hold reason PRODUCTION_BLOCKER.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","CATALOG_AUTHORITY","CATALOG AUTHORITY","Hold reason CATALOG_AUTHORITY.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","SOW_REQUIRED","SOW REQUIRED","Hold reason SOW_REQUIRED.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","DISTRIBUTION_REJECTION","DISTRIBUTION REJECTION","Hold reason DISTRIBUTION_REJECTION.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","EXECUTIVE_DECISION","EXECUTIVE DECISION","Hold reason EXECUTIVE_DECISION.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","CLIENT_AUTOMATION_FROZEN","CLIENT AUTOMATION FROZEN","Hold reason CLIENT_AUTOMATION_FROZEN.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Hold Reason","UNKNOWN_EVIDENCE","UNKNOWN EVIDENCE","Hold reason UNKNOWN_EVIDENCE.","Use when a governed blocker exists.","Do not hide blockers by advancing state.","PROJECTED_ONLY","ACTIVE"
"Actor Type","HUMAN_PUBLISHER","HUMAN PUBLISHER","Actor type HUMAN_PUBLISHER.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Actor Type","AUTHOR","AUTHOR","Actor type AUTHOR.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Actor Type","EXECUTIVE_APPROVER","EXECUTIVE APPROVER","Actor type EXECUTIVE_APPROVER.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Actor Type","AUTHORIZED_RUNTIME","AUTHORIZED RUNTIME","Actor type AUTHORIZED_RUNTIME.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Actor Type","SYSTEM_READBACK","SYSTEM READBACK","Actor type SYSTEM_READBACK.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Actor Type","AUDITOR","AUDITOR","Actor type AUDITOR.","Use in execution log actor typing.","Do not use AUTHORIZED_RUNTIME for mutation before future implementation approval.","INTERNAL_ONLY","ACTIVE"
"Event Category","CATALOG","CATALOG","Execution-log category CATALOG.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","PF","PF","Execution-log category PF.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","TITLE","TITLE","Execution-log category TITLE.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","AUTHOR","AUTHOR","Execution-log category AUTHOR.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","RELEASE","RELEASE","Execution-log category RELEASE.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","DISTRIBUTION","DISTRIBUTION","Execution-log category DISTRIBUTION.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","CORRECTION","CORRECTION","Execution-log category CORRECTION.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","QA","QA","Execution-log category QA.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","MANUAL_EXCEPTION","MANUAL_EXCEPTION","Execution-log category MANUAL_EXCEPTION.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Event Category","ROLLBACK","ROLLBACK","Execution-log category ROLLBACK.","Use only for specific events in the event contract.","Do not replace with generic STATUS_CHANGED events.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_NOT_AUTHORIZED","TRANSITION NOT AUTHORIZED","Exception/failure code TRANSITION_NOT_AUTHORIZED.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_PRECONDITION_FAILED","TRANSITION PRECONDITION FAILED","Exception/failure code TRANSITION_PRECONDITION_FAILED.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_EVIDENCE_MISSING","TRANSITION EVIDENCE MISSING","Exception/failure code TRANSITION_EVIDENCE_MISSING.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_ACTOR_NOT_AUTHORIZED","TRANSITION ACTOR NOT AUTHORIZED","Exception/failure code TRANSITION_ACTOR_NOT_AUTHORIZED.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_IDEMPOTENCY_CONFLICT","TRANSITION IDEMPOTENCY CONFLICT","Exception/failure code TRANSITION_IDEMPOTENCY_CONFLICT.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","TRANSITION_CANON_VERSION_MISMATCH","TRANSITION CANON VERSION MISMATCH","Exception/failure code TRANSITION_CANON_VERSION_MISMATCH.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","MIGRATION_EVIDENCE_INSUFFICIENT","MIGRATION EVIDENCE INSUFFICIENT","Exception/failure code MIGRATION_EVIDENCE_INSUFFICIENT.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
"Exception Type","CLIENT_AUTOMATION_FROZEN","CLIENT AUTOMATION FROZEN","Exception/failure code CLIENT_AUTOMATION_FROZEN.","Use for fail-closed planning and future runtime errors.","Do not swallow or downgrade to generic failure.","INTERNAL_ONLY","ACTIVE"
