ruling_class,legacy_sku,legacy_name,legacy_price,sku_family,matrix_v11_equivalent,proposed_disposition,jackie_ruling,conflict_detail,notes
Class A,JMP-AUTH-COMMUNITY,Reader Community Setup,$295,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-CONSULT,Publishing Strategy Consultation,$195,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-DTC,DTC Store Setup,$495,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-EMAIL,Email Newsletter Setup,$195,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-FUNNEL,Lead Magnet Funnel Setup,$295,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-LANDING,Author Profile Page (Publisher),Included,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-AUTH-MEDIA,Speaking & Media Kit,$295,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-PHOTO,Headshot Optimization,$95,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-PORTAL,Author Portal (Power Apps),$995,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-PROFILE,Enhanced Author Page,$395,AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTH-WEB,Author Website / Campaign Hub,"$2,500",AUTH,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-AUTHCOPY-HC,| Priced at IngramSpark cost. Ordered through IS or LSI.,Cost + ship,AUTHCOPY,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-AUTHCOPY-PB,| Priced at IngramSpark cost. Ordered through IS or LSI.,Cost + ship,AUTHCOPY,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-BOOK-AUDIO,Audiobook (retail) — CoreSource primary,Per title,BOOK,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-BOOK-EB,| All eBooks route through CoreSource exclusively.,Per title,BOOK,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-BOOK-HC,| Individual title: BOOK-[AUTHOR]-[TITLE]-HC | Example: BOOK-SMITH-GLORY-HC,Per title,BOOK,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE; AUTHOR."
Class A,JMP-BOOK-PB,| Individual title: BOOK-[AUTHOR]-[TITLE]-PB | Example: BOOK-SMITH-GLORY-PB,Per title,BOOK,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE; AUTHOR."
Class A,JMP-CAT-ANALYTICS,Sales Analytics Report,$150,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CAT-AUDIT,Backlist Metadata Audit,$249,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CAT-METADATA,Metadata Optimization,$199,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CAT-PRICING,Book Pricing Strategy,$150,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CAT-REVISION,Revised Edition Service,$395,CAT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CHILD-ILLUS,Children's Book Illustration,$150–$350/illus,CHILD,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-CHILD-LAYOUT,Illustrated Book Layout,$595,CHILD,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-CHILD-PROD,Illustrated Production Setup,$295,CHILD,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DES-COVER,Professional Cover Design,$495,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-COVER-ADAPT,Cover Adaptation (new format),$95–$150,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DES-COVER-PREM,Premium Cover Design,$895,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-DEVOTIONAL,Devotional / Curriculum Formatting,$495,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class B,JMP-DES-EBOOK,eBook Conversion,$195,DES,JMP-EDT-EB-STD,SUPERSEDED,,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,"Legacy ebook conversion appears superseded by Matrix eBook edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class B,JMP-DES-HARDCOVER,Hardcover Formatting,$195,DES,JMP-EDT-HC-STD,SUPERSEDED,,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,"Legacy hardcover design/production add-on appears superseded by Matrix Hardcover edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-ILLUSTRATION,Illustration Integration,$150,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class B,JMP-DES-LARGEPRINT,Large Print Formatting,$195,DES,JMP-EDT-LP-STD,SUPERSEDED,,yes - legacy design SKU price/taxonomy conflicts with Matrix edition add-on,"Known conflict: legacy $195 large print design versus Matrix $350 Large Print edition add-on. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-LAYOUT,Interior Layout & Typesetting,$495,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DES-PRINT-ADD,Additional Print Format (HC/LP),$295,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DES-PROOF-PRINT,Physical Print Proof (+ cost/shipping),$45–$75 + cost,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DES-REVISION,Interior Revision (Post-Layout),$150 / $75/hr,DES,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DIST-ANNUAL,Annual Distribution & Maintenance,$49/title,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-BULK,Bulk Author Copy Order Support,$95,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-CHURCH,Church Bookstore Placement,$195,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-CONFERENCE,Conference & Event Sales Setup,$195,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-FAITH,Faith Market Distribution (CBA),$295,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-LIBRARY,Expanded Library Distribution,$195,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-DIST-LSI-UPGRADE,LSI Distribution Upgrade,$125,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-DIST-TRANSFER,Title Transfer / Republishing,$295,DIST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-EDIT-COPY,Copy Editing,$0.035/word,EDIT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-EDIT-DEV,Developmental Editing,$0.08/word,EDIT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-EDIT-EVAL,Manuscript Evaluation,$295,EDIT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-EDIT-LINE,Line Editing,$0.05/word,EDIT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-EDIT-PROOF,Proofreading,$0.02/word,EDIT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-EDU-BIBLESTUDY,Bible Study Kit Creation,$495,EDU,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-EDU-COURSE,Self-Paced Publishing Course,$197,EDU,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-EDU-WORKSHOP,Author Workshop (Virtual),$97/attendee,EDU,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class D,JMP-GHOST-ANTHOLOGY,Anthology Creation,TBD,GHOST,,PROVISIONAL,,no - provisional/non-public activation pending,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-GHOST-EXTENDED,Ghostwriting – Extended (50K–75K words),"$25,000",GHOST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-GHOST-PREMIUM,Ghostwriting – Premium (75K–100K words),"$35,000",GHOST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-GHOST-SHORT,Ghostwriting – Short (10K–25K words),"$7,500",GHOST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-GHOST-STANDARD,Ghostwriting – Standard (25K–50K words),"$15,000",GHOST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-LEGAL-COPYRIGHT,Copyright Registration Filing,$95–$125,LEGAL,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-LEGAL-REVIEW,Publishing Agreement Review,$195,LEGAL,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-ADSMGT,Ads Guidance (monthly),$250/mo,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-ADSSET,Ads Setup (Amazon/Meta/Google),$350,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-ARC,ARC Campaign Management,$650,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-DESC,Book Description & Sales Copy,$195,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-INGRAMADS,Ingram iD Campaign Setup,$195–$295,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-LAUNCH,Launch Strategy Session,$395,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-LAUNCHKIT,Complete Launch Strategy Plan,"$1,995",MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-PREORDER,Pre-Order Campaign Setup,$195–$295,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-PRESS,Press Release Distribution,$495,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-REELS,Short-Form Video Kit (BookTok/Reels),$495,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class C,JMP-MKT-SERIAL,Serialization Strategy,$195,MKT,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,MIGRATE-AMENDED,,yes - legacy marketing serial service scope conflicts or overlaps with Matrix serialized release programs,Jackie review required: determine distinct advisory service versus superseded serialized release SKU. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-MKT-SOCIAL,Social Strategy & Content Kit,$395,MKT,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-OPS-RUSH,Rush Production Upgrade,+25%,OPS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-PARTNER-PARTNER,Publishing Partner (≤2 titles/yr),"$9,000/yr",PARTNER,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-PARTNER-SIGNATURE,Signature Author (≤3 titles/yr),"$15,000/yr",PARTNER,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-PKG-CHILD,Children's Package (author provides art),"$2,495",PKG,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,"Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-PKG-PRO,and JMP-PKG-SIGNATURE. Add-on upsell for JMP-PKG-STARTER (,"$4,500",PKG,JMP-PKG-PRO,MIGRATE-AS-IS,,no,"Exact SKU exists in Matrix v1.1 (Professional $4,500). Sources: full_catalog, reference_guide. Status: ACTIVE."
Class B,JMP-PKG-SIGNATURE,Signature Publishing Partnership (≤100K words),"$7,500",PKG,JMP-PKG-PREMIER / JM Signature funding track,SUPERSEDED,,yes - legacy package conflates package tier with Traditional/JM Signature track,"Matrix separates Premier package from JM Signature funding track. Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-PKG-STARTER,Starter Publishing Package (≤50K words),"$1,999",PKG,JMP-PKG-STARTER,MIGRATE-AS-IS,,no,"Exact SKU exists in Matrix v1.1 (Starter $1,999). Sources: full_catalog, reference_guide. Status: ACTIVE."
Class A,JMP-POST-ROYALTY,Royalty Dashboard,Incl. (subs),POST,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-RIGHTS-CATALOG,Rights Catalog Creation,$750,RIGHTS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class D,JMP-RIGHTS-FILM,Film/TV Rights Representation,20%,RIGHTS,,PROVISIONAL,,no - provisional/non-public activation pending,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
Class D,JMP-RIGHTS-FOREIGN,Foreign Rights Representation,20%,RIGHTS,,PROVISIONAL,,no - provisional/non-public activation pending,Coming Soon or pending item: keep non-public until separately activated. Sources: full_catalog. Status: PENDING PARTNER.
Class A,JMP-RIGHTS-MINISTRY,Ministry Bulk Licensing,20%,RIGHTS,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-SUB-AI,AI Plan (incl. dashboard),$249/mo,SUB,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-SUB-COMMUNITY,Community,$79/mo,SUB,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-SUB-MARKETING,Marketing (incl. dashboard),$199/mo,SUB,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
Class A,JMP-SUB-SUPPORT,Support (incl. royalty dashboard),$149/mo,SUB,,MIGRATE-AS-IS,,no Matrix v1.1 equivalent identified,Legacy catalog SKU not replaced by Matrix seed based on available parsed sources. Sources: full_catalog. Status: ACTIVE.
