row,legacy_sku,legacy_name,category,legacy_price,matrix_v11_equivalent,source_disposition,final_ruling,surviving_authority,amendment_required,final_rationale,missing_fact,owner,review_date,migration_status,amended_candidate_diff,evidence_source
11,JMP-AUDIO-AI,) - default narration method. Human narration available as add-on election (,Uncategorized,$699 (add-on) / Included in Pro & Signature,JMP-AUD-SYNTH-STD,SUPERSEDED,MERGE,JMP-AUD-SYNTH-STD,Use matrix_v11_equivalent as surviving authority.,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.,,Catalog implementation owner,,MIGRATE_TO_SURVIVING_AUTHORITY,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
12,JMP-AUDIO-DIST,Audiobook Distribution Setup,Uncategorized,$195,,MIGRATE-AMENDED,AMEND,Jackie ruling required,Exclude or hold any annual distribution charge that duplicates the governed $30 annual distribution fee; keep only separately authorized setup labor.,Distribution setup must not duplicate the governed annual distribution fee; retain only a distinct non-duplicative setup scope after pricing authority confirms.,,Jackie / Publishing governance,2026-08-15,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
13,JMP-AUDIO-PRO,Professional Human Narration (Add-On Election),Uncategorized,"$3,000-$5,000",JMP-AUD-HUMAN-SV,SUPERSEDED,MERGE,JMP-AUD-HUMAN-SV,Use matrix_v11_equivalent as surviving authority.,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.,,Catalog implementation owner,,MIGRATE_TO_SURVIVING_AUTHORITY,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
14,JMP-AUDIO-RS,Royalty Share Production (ACX),Uncategorized,$395 (coord),,MIGRATE-AS-IS,MIGRATE,JMP-AUDIO-RS,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
15,JMP-AUTH-BRAND,Author Branding Package,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-BRAND,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
16,JMP-AUTH-COACH,Author Coaching Session,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-COACH,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
17,JMP-AUTH-COMMUNITY,Reader Community Setup,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-COMMUNITY,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
18,JMP-AUTH-CONSULT,Publishing Strategy Consultation,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-CONSULT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
19,JMP-AUTH-DTC,DTC Store Setup,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-DTC,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
20,JMP-AUTH-EMAIL,Email Newsletter Setup,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-EMAIL,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
21,JMP-AUTH-FUNNEL,Lead Magnet Funnel Setup,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-FUNNEL,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
22,JMP-AUTH-LANDING,Author Profile Page (Publisher),Uncategorized,Included,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-LANDING,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
23,JMP-AUTH-MEDIA,Speaking & Media Kit,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-MEDIA,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
24,JMP-AUTH-PHOTO,Headshot Optimization,Uncategorized,$95,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-PHOTO,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
25,JMP-AUTH-PORTAL,Author Portal (Power Apps),Uncategorized,$995,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-PORTAL,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
26,JMP-AUTH-PROFILE,Enhanced Author Page,Uncategorized,$395,,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-PROFILE,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
27,JMP-AUTH-WEB,Author Website / Campaign Hub,Uncategorized,"$2,500",,MIGRATE-AS-IS,MIGRATE,JMP-AUTH-WEB,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
28,JMP-AUTHCOPY-HC,| Priced at IngramSpark cost. Ordered through IS or LSI.,Uncategorized,Cost + ship,,MIGRATE-AS-IS,MIGRATE,JMP-AUTHCOPY-HC,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
29,JMP-AUTHCOPY-PB,| Priced at IngramSpark cost. Ordered through IS or LSI.,Uncategorized,Cost + ship,,MIGRATE-AS-IS,MIGRATE,JMP-AUTHCOPY-PB,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
30,JMP-BOOK-AUDIO,Audiobook (retail) - CoreSource primary,Uncategorized,Per title,,MIGRATE-AS-IS,MIGRATE,JMP-BOOK-AUDIO,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
31,JMP-BOOK-EB,| All eBooks route through CoreSource exclusively.,Uncategorized,Per title,,MIGRATE-AS-IS,MIGRATE,JMP-BOOK-EB,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
32,JMP-BOOK-HC,| Individual title: BOOK-[AUTHOR]-[TITLE]-HC | Example: BOOK-SMITH-GLORY-HC,Uncategorized,Per title,,MIGRATE-AS-IS,MIGRATE,JMP-BOOK-HC,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
33,JMP-BOOK-PB,| Individual title: BOOK-[AUTHOR]-[TITLE]-PB | Example: BOOK-SMITH-GLORY-PB,Uncategorized,Per title,,MIGRATE-AS-IS,MIGRATE,JMP-BOOK-PB,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
34,JMP-CAT-ANALYTICS,Sales Analytics Report,Uncategorized,$150,,MIGRATE-AS-IS,MIGRATE,JMP-CAT-ANALYTICS,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
35,JMP-CAT-AUDIT,Backlist Metadata Audit,Uncategorized,$249,,MIGRATE-AS-IS,MIGRATE,JMP-CAT-AUDIT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
36,JMP-CAT-METADATA,Metadata Optimization,Uncategorized,$199,,MIGRATE-AS-IS,MIGRATE,JMP-CAT-METADATA,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
37,JMP-CAT-PRICING,Book Pricing Strategy,Uncategorized,$150,,MIGRATE-AS-IS,MIGRATE,JMP-CAT-PRICING,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
38,JMP-CAT-REVISION,Revised Edition Service,Uncategorized,$395,,MIGRATE-AS-IS,MIGRATE,JMP-CAT-REVISION,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
39,JMP-CHILD-ILLUS,Children's Book Illustration,Uncategorized,$150-$350/illus,,MIGRATE-AS-IS,MIGRATE,JMP-CHILD-ILLUS,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
40,JMP-CHILD-LAYOUT,Illustrated Book Layout,Uncategorized,$595,,MIGRATE-AS-IS,MIGRATE,JMP-CHILD-LAYOUT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
41,JMP-CHILD-PROD,Illustrated Production Setup,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-CHILD-PROD,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
42,JMP-DES-COVER,Professional Cover Design,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-DES-COVER,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
43,JMP-DES-COVER-ADAPT,Cover Adaptation (new format),Uncategorized,$95-$150,,MIGRATE-AS-IS,MIGRATE,JMP-DES-COVER-ADAPT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
44,JMP-DES-COVER-PREM,Premium Cover Design,Uncategorized,$895,,MIGRATE-AS-IS,MIGRATE,JMP-DES-COVER-PREM,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
45,JMP-DES-DEVOTIONAL,Devotional / Curriculum Formatting,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-DES-DEVOTIONAL,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
46,JMP-DES-EBOOK,eBook Conversion,Uncategorized,$195,JMP-EDT-EB-STD,SUPERSEDED,MERGE,JMP-EDT-EB-STD,Use matrix_v11_equivalent as surviving authority.,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.,,Catalog implementation owner,,MIGRATE_TO_SURVIVING_AUTHORITY,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
47,JMP-DES-HARDCOVER,Hardcover Formatting,Uncategorized,$195,JMP-EDT-HC-STD,SUPERSEDED,MERGE,JMP-EDT-HC-STD,Use matrix_v11_equivalent as surviving authority.,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.,,Catalog implementation owner,,MIGRATE_TO_SURVIVING_AUTHORITY,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
48,JMP-DES-ILLUSTRATION,Illustration Integration,Uncategorized,$150,,MIGRATE-AS-IS,MIGRATE,JMP-DES-ILLUSTRATION,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
49,JMP-DES-LARGEPRINT,Large Print Formatting,Uncategorized,$195,JMP-EDT-LP-STD,SUPERSEDED,MERGE,JMP-EDT-LP-STD,Use matrix_v11_equivalent as surviving authority.,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.,,Catalog implementation owner,,MIGRATE_TO_SURVIVING_AUTHORITY,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
50,JMP-DES-LAYOUT,Interior Layout & Typesetting,Uncategorized,$495,,MIGRATE-AS-IS,MIGRATE,JMP-DES-LAYOUT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
51,JMP-DES-PRINT-ADD,Additional Print Format (HC/LP),Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-DES-PRINT-ADD,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
52,JMP-DES-PROOF-PRINT,Physical Print Proof (+ cost/shipping),Uncategorized,$45-$75 + cost,,MIGRATE-AS-IS,MIGRATE,JMP-DES-PROOF-PRINT,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
53,JMP-DES-REVISION,Interior Revision (Post-Layout),Uncategorized,$150 / $75/hr,,MIGRATE-AS-IS,MIGRATE,JMP-DES-REVISION,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
54,JMP-DIST-ANNUAL,Annual Distribution & Maintenance,Uncategorized,$49/title,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-ANNUAL,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Amended worksheet changed source wording; final ruling remains controlled by 104-row worksheet unless separately approved.,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
55,JMP-DIST-BULK,Bulk Author Copy Order Support,Uncategorized,$95,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-BULK,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
56,JMP-DIST-CHURCH,Church Bookstore Placement,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-CHURCH,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
57,JMP-DIST-CONFERENCE,Conference & Event Sales Setup,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-CONFERENCE,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
58,JMP-DIST-FAITH,Faith Market Distribution (CBA),Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-FAITH,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
59,JMP-DIST-LIBRARY,Expanded Library Distribution,Uncategorized,$195,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-LIBRARY,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
60,JMP-DIST-LSI-UPGRADE,LSI Distribution Upgrade,Uncategorized,$125,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-LSI-UPGRADE,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Amended worksheet changed source wording; final ruling remains controlled by 104-row worksheet unless separately approved.,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
61,JMP-DIST-TRANSFER,Title Transfer / Republishing,Uncategorized,$295,,MIGRATE-AS-IS,MIGRATE,JMP-DIST-TRANSFER,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
62,JMP-EDIT-COPY,Copy Editing,Uncategorized,$0.035/word,,MIGRATE-AS-IS,MIGRATE,JMP-EDIT-COPY,,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.,,Catalog implementation owner,,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,,2026-07-20-JMP-Catalog-Reconciliation-Worksheet.csv
