legacy_sku,final_ruling,surviving_authority,migration_status,notes
JMP-AUTH-BRAND,MIGRATE,JMP-AUTH-BRAND,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-COACH,MIGRATE,JMP-AUTH-COACH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-COMMUNITY,MIGRATE,JMP-AUTH-COMMUNITY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-CONSULT,MIGRATE,JMP-AUTH-CONSULT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-DTC,MIGRATE,JMP-AUTH-DTC,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-EMAIL,MIGRATE,JMP-AUTH-EMAIL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-FUNNEL,MIGRATE,JMP-AUTH-FUNNEL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-LANDING,MIGRATE,JMP-AUTH-LANDING,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-MEDIA,MIGRATE,JMP-AUTH-MEDIA,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-PHOTO,MIGRATE,JMP-AUTH-PHOTO,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-PORTAL,MIGRATE,JMP-AUTH-PORTAL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-PROFILE,MIGRATE,JMP-AUTH-PROFILE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTH-WEB,MIGRATE,JMP-AUTH-WEB,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTHCOPY-HC,MIGRATE,JMP-AUTHCOPY-HC,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-AUTHCOPY-PB,MIGRATE,JMP-AUTHCOPY-PB,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-BOOK-AUDIO,MIGRATE,JMP-BOOK-AUDIO,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-BOOK-EB,MIGRATE,JMP-BOOK-EB,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-BOOK-HC,MIGRATE,JMP-BOOK-HC,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-BOOK-PB,MIGRATE,JMP-BOOK-PB,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CAT-ANALYTICS,MIGRATE,JMP-CAT-ANALYTICS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CAT-AUDIT,MIGRATE,JMP-CAT-AUDIT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CAT-METADATA,MIGRATE,JMP-CAT-METADATA,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CAT-PRICING,MIGRATE,JMP-CAT-PRICING,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CAT-REVISION,MIGRATE,JMP-CAT-REVISION,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CHILD-ILLUS,MIGRATE,JMP-CHILD-ILLUS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CHILD-LAYOUT,MIGRATE,JMP-CHILD-LAYOUT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-CHILD-PROD,MIGRATE,JMP-CHILD-PROD,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-COVER,MIGRATE,JMP-DES-COVER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-COVER-ADAPT,MIGRATE,JMP-DES-COVER-ADAPT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-COVER-PREM,MIGRATE,JMP-DES-COVER-PREM,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-DEVOTIONAL,MIGRATE,JMP-DES-DEVOTIONAL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-EBOOK,MERGE,JMP-EDT-EB-STD,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-DES-HARDCOVER,MERGE,JMP-EDT-HC-STD,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-DES-ILLUSTRATION,MIGRATE,JMP-DES-ILLUSTRATION,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-LARGEPRINT,MERGE,JMP-EDT-LP-STD,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-DES-LAYOUT,MIGRATE,JMP-DES-LAYOUT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-PRINT-ADD,MIGRATE,JMP-DES-PRINT-ADD,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-PROOF-PRINT,MIGRATE,JMP-DES-PROOF-PRINT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DES-REVISION,MIGRATE,JMP-DES-REVISION,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-ANNUAL,MIGRATE,JMP-DIST-ANNUAL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-BULK,MIGRATE,JMP-DIST-BULK,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-CHURCH,MIGRATE,JMP-DIST-CHURCH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-CONFERENCE,MIGRATE,JMP-DIST-CONFERENCE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-FAITH,MIGRATE,JMP-DIST-FAITH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-LIBRARY,MIGRATE,JMP-DIST-LIBRARY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-LSI-UPGRADE,MIGRATE,JMP-DIST-LSI-UPGRADE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-DIST-TRANSFER,MIGRATE,JMP-DIST-TRANSFER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDIT-COPY,MIGRATE,JMP-EDIT-COPY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDIT-DEV,MIGRATE,JMP-EDIT-DEV,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDIT-EVAL,MIGRATE,JMP-EDIT-EVAL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDIT-LINE,MIGRATE,JMP-EDIT-LINE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDIT-PROOF,MIGRATE,JMP-EDIT-PROOF,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDU-BIBLESTUDY,MIGRATE,JMP-EDU-BIBLESTUDY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDU-COURSE,MIGRATE,JMP-EDU-COURSE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-EDU-WORKSHOP,MIGRATE,JMP-EDU-WORKSHOP,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-GHOST-ANTHOLOGY,PROVISIONAL,Jackie ruling required,HOLD,"Business model, authority, and activation requirements are not fully proven; do not activate until Jackie ruling resolves the exception."
JMP-GHOST-EXTENDED,MIGRATE,JMP-GHOST-EXTENDED,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-GHOST-PREMIUM,MIGRATE,JMP-GHOST-PREMIUM,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-GHOST-SHORT,MIGRATE,JMP-GHOST-SHORT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-GHOST-STANDARD,MIGRATE,JMP-GHOST-STANDARD,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-LEGAL-COPYRIGHT,MIGRATE,JMP-LEGAL-COPYRIGHT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-LEGAL-REVIEW,MIGRATE,JMP-LEGAL-REVIEW,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-ADSMGT,MIGRATE,JMP-MKT-ADSMGT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-ADSSET,MIGRATE,JMP-MKT-ADSSET,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-ARC,MIGRATE,JMP-MKT-ARC,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-DESC,MIGRATE,JMP-MKT-DESC,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-INGRAMADS,MIGRATE,JMP-MKT-INGRAMADS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-LAUNCH,MIGRATE,JMP-MKT-LAUNCH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-LAUNCHKIT,MIGRATE,JMP-MKT-LAUNCHKIT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-PREORDER,MIGRATE,JMP-MKT-PREORDER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-PRESS,MIGRATE,JMP-MKT-PRESS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-REELS,MIGRATE,JMP-MKT-REELS,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-MKT-SERIAL,AMEND,JMP-SER-DIGITAL-06 / JMP-SER-DIGITAL-12,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Serialized marketing work overlaps Matrix serialized-release programs; retain only a distinct strategy/advisory scope or merge into the named serialized program SKUs.
JMP-MKT-SOCIAL,MIGRATE,JMP-MKT-SOCIAL,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-OPS-RUSH,MIGRATE,JMP-OPS-RUSH,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-PARTNER-PARTNER,MIGRATE,JMP-PARTNER-PARTNER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-PARTNER-SIGNATURE,MIGRATE,JMP-PARTNER-SIGNATURE,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-PKG-CHILD,MIGRATE,JMP-PKG-CHILD,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-PKG-PRO,MIGRATE,JMP-PKG-PRO,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-PKG-SIGNATURE,MERGE,JMP-PKG-PREMIER / JM Signature funding track,MIGRATE_TO_SURVIVING_AUTHORITY,Legacy SKU is not an active independent offer; preserve history and migrate operational authority to the named Matrix/package/funding equivalent.
JMP-PKG-STARTER,MIGRATE,JMP-PKG-STARTER,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-POST-ROYALTY,MIGRATE,JMP-POST-ROYALTY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-RIGHTS-CATALOG,MIGRATE,JMP-RIGHTS-CATALOG,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-RIGHTS-FILM,PROVISIONAL,Jackie ruling required,HOLD,"Business model, authority, and activation requirements are not fully proven; do not activate until Jackie ruling resolves the exception."
JMP-RIGHTS-FOREIGN,PROVISIONAL,Jackie ruling required,HOLD,"Business model, authority, and activation requirements are not fully proven; do not activate until Jackie ruling resolves the exception."
JMP-RIGHTS-MINISTRY,MIGRATE,JMP-RIGHTS-MINISTRY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-SUB-AI,MIGRATE,JMP-SUB-AI,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-SUB-COMMUNITY,MIGRATE,JMP-SUB-COMMUNITY,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-SUB-MARKETING,MIGRATE,JMP-SUB-MARKETING,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
JMP-SUB-SUPPORT,MIGRATE,JMP-SUB-SUPPORT,ELIGIBLE_FOR_IMPLEMENTATION_AFTER_CATALOG_DEPLOYMENT_AUTHORIZATION,Legacy catalog row is valid for migration with no Matrix v1.1 replacement identified in the governing worksheet.
