"Title / Working Title","Author Public/Pen Name","LifecycleContext","OperationallyActive","Automation Safe?","AutomationLane","ReconciliationReason","Flags","NextManualRecoveryAction"
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Warriors and Angels","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"What Goes up Must Come down Let's Face It","Carol Roye","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"When a Thug Meets Jesus","Mack Hughley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Warriors and Angels","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"When a Thug Meets Jesus","Mack Hughley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Warrior's Breed","Dean Wilson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"What Goes Up Must Come Down Let's Face It","Carol Roye","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Uncomfortable Conversations with God","Leslie Banks","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"War Mother","Winter Dockery","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Understanding the Misunderstood","Tia Benincase","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Understanding the Misunderstood","Tia Benincase","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Warrior's Breed","Dean Wilson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Uncomfortable Conversations with God","Leslie Banks","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Sun, the Shadow, and the Silence","Devin Gilchrest","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"War Mother","Winter Dockery","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Release of the Spirit","Lyle Goddard","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Release of the Spirit","Lyle Goddard","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Shift","Sean Crowley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Princess and the Black-eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Princess and the Black-eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Sun, the Shadow, and the Silence","Devin Gilchrest","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Shift","Sean Crowley","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Messenger 2","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Paper Champ","Felix Catheline","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Paper Champ","Felix Catheline","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Princess and the Black-Eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Messenger 2","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Messenger","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Journey","Rosetta Perry","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Journey","Rosetta Perry","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Little Girl with the Plow!","Christina Chislom","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Messenger","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The I Am in Me Part 2","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Little Girl with the Plow!","Christina Chislom","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Hood","Randall Beverly","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The I Am in Me","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The I Am in Me","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Hood","Randall Beverly","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The I Am in Me Part 2","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Flame","Dennis Brown","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Fight for the Promiseland","Cheryl Cook","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Fight for the Promiseland","Cheryl Cook","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Doctrine of Last Things","Obadiah Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Essence of Life, Love Letters to Christ","Tracy Norris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Doctrine of Last Things","Obadiah Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Essence of Life, Love Letters to Christ","Tracy Norris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Flame","Dennis Brown","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Speech Therapy Works!","Cynthia Sloan","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"SHE","M Darlene Carson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Speech Therapy Works!","Cynthia Sloan","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Support Beyond the Cycle","Brandyn McElroy","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Support Beyond the Cycle","Brandyn McElroy","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Pieces of Me All Over the Place","Ashanti Flemister","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Pretty Wings","Natasha Gilchrest","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"She","M Darlene Carson","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Rhyming It up with Church Stuff","Juanita Travis","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Pieces of Me All over the Place","Ashanti Flemister","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Seasons of Life","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Rhyming It up with Church Stuff","Juanita Travis","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Seasons of Life","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Pretty Wings","Natasha Gilchrest","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Peaches Can Do It!","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"One Soul","Veronica Brown","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Peaches Can Do It!","Daphanny Baker","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","NO_CURRENT_ACTION","Reconciliation","LEGACY_DUPLICATE","RECONCILIATION_REQUIRED","No immediate Jackie action; retain in historical/reconciliation evidence."
