"Title / Working Title","Author Public/Pen Name","LifecycleContext","OperationallyActive","PortalWorkspaceState","Flags"
"When a Thug Meets Jesus","Mack Hughley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Warriors and Angels","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"When a Thug Meets Jesus","Mack Hughley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Warrior's Breed","Dean Wilson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"What Goes Up Must Come Down Let's Face It","Carol Roye","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Uncomfortable Conversations with God","Leslie Banks","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"War Mother","Winter Dockery","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Understanding the Misunderstood","Tia Benincase","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Understanding the Misunderstood","Tia Benincase","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Warrior's Breed","Dean Wilson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Uncomfortable Conversations with God","Leslie Banks","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Sun, the Shadow, and the Silence","Devin Gilchrest","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"War Mother","Winter Dockery","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Release of the Spirit","Lyle Goddard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Release of the Spirit","Lyle Goddard","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Shift","Sean Crowley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Princess and the Black-eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Princess and the Black-eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Sun, the Shadow, and the Silence","Devin Gilchrest","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Shift","Sean Crowley","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Messenger 2","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Paper Champ","Felix Catheline","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Paper Champ","Felix Catheline","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Princess and the Black-Eyed Pea","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Messenger 2","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Messenger","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Journey","Rosetta Perry","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Journey","Rosetta Perry","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Little Girl with the Plow!","Christina Chislom","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Messenger","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The I Am in Me Part 2","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Master's Piece","Sylvia Benson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Little Girl with the Plow!","Christina Chislom","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Hood","Randall Beverly","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The I Am in Me","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The I Am in Me","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Hood","Randall Beverly","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Healed Me","Maurche Reed","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The I Am in Me Part 2","Tekisha Wimbush","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Great Hair Restart","Karen Hill","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Flame","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Fight for the Promiseland","Cheryl Cook","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Fight for the Promiseland","Cheryl Cook","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Doctrine of Last Things","Obadiah Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Essence of Life, Love Letters to Christ","Tracy Norris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Doctrine of Last Things","Obadiah Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Essence of Life, Love Letters to Christ","Tracy Norris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Flame","Dennis Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Conquest of Azenga","Iyorwuese Hagher","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"The Celestial Advantage","Obadiah Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Taylor Made","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Speech Therapy Works!","Cynthia Sloan","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"SHE","M Darlene Carson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Speech Therapy Works!","Cynthia Sloan","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Support Beyond the Cycle","Brandyn McElroy","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Support Beyond the Cycle","Brandyn McElroy","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Pieces of Me All Over the Place","Ashanti Flemister","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Pretty Wings","Natasha Gilchrest","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"She","M Darlene Carson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Rhyming It up with Church Stuff","Juanita Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Pieces of Me All over the Place","Ashanti Flemister","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Seasons of Life","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Rhyming It up with Church Stuff","Juanita Travis","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Seasons of Life","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Pretty Wings","Natasha Gilchrest","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Peaches Can Do It!","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"One Soul","Veronica Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Peaches Can Do It!","Daphanny Baker","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Ordinary People Searching for Greatness","Earline Neal","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Number 23 and Me","Wayne Pounds","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Never Give Up On Love","Pamela Smith","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Never Give up on Love","Pamela Smith","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Number 23 and Me","Wayne Pounds","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"One Soul","Veronica Brown","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"My ABC's","Christy Grogg","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Naughty Tales","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Music Ministry Unplugged","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Music Ministry Unplugged","Will Harris","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Naughty Tales","Jaylonna Stevette","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"My ABC's","Christy Grogg","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"More Than a Village","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Mirror of Refining Insight","Marvin Grayson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Memoir of a Black Christian Nationalist","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"More Than A Village","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Memoir of a Black Christian Nationalist","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Memoir of a Black Christian Nationalist","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Mirror of Refining Insight","Marvin Grayson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Mirror of Refining Insight","Marvin Grayson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love of My Life","Thaddues Smith","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love of My Life","Thaddues Smith","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love of My Life","Thaddues Smith","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Memoir of a Black Christian Nationalist","Shelley McIntosh","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Loving the Addict","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Melodies From Heaven","Bailery Cunningham","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Melodies from Heaven","Bailery Cunningham","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Loving the Addict","Carolyn Booker-Pierce","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love Lucy","Diane Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Life after Detour","Deanna Jones","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Life After Detour","Deanna Jones","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Let Me Tell You About It","Lisa Clark","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love Is an Action Word","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love Is An Action Word","Kurt Broadnax","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Let Me Tell You about It","Lisa Clark","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Love Lucy","Diane Johnson","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Just What I Needed","Adrean Young","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Jewels by Lady J","Janet Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
"Kingdom Equipment 101","Terry Stephens","RECONCILIATION_REQUIRED","NO","Workspace state not resolved from title-only row; reconciliation required if external action is active.","RECONCILIATION_REQUIRED"
