Domain,Manual Skill,Requirement,Manual Canon Source,Current Runtime Component,Current Behavior,Classification,Impact,Required Change,Change Type,Priority
Layout Boundary,(structural),Three stage models should describe one coherent pipeline,Founder direction item 38,milestone7cEditorialCommandCenter.js vs author-review-package-engine.ts vs publisher-operating-center.ts,Three independently-defined stage enums exist with no reconciliation/cross-validation between them,CONFLICT,Critical - drives multiple other findings,Establish one canonical stage-sequence source of truth; other two derive from it,Architecture-bounded fix (not a rewrite),P0
Cover Intelligence,Cover,Distinguish Cover Concept from Final Production Cover/Full Wrap,07-Cover-Intelligence/instructions.md,publisher-operating-center.ts coverReadiness type vs milestone8DistributionSetupReadiness.js gate vs productionReadinessFromWorkload,Type-level distinction exists (FRONT COVER APPROVED vs FULL WRAP APPROVED) but the function that actually computes readiness never emits those specific values; the real distribution gate collapses to a flat COVER_APPROVED boolean,PARTIAL,High - matches the real Intentional Leader near-miss this session,Wire productionReadinessFromWorkload to actually emit the distinguishing values; use them in the distribution gate instead of the flat boolean,Runtime wiring,P1
Cover Intelligence,Cover,Distribution-path-aware inputs (trim/binding/paper/page count/barcode),07-Cover-Intelligence/jmp_cover_production_specs.md,productionPipelineV2Doctrine.js PRODUCT_FORM_REGISTRY,Trim/spine/page-count appear only as opaque checklist string labels - no calculation logic or per-title template lookup,MISSING,Medium (confirmed separately in Intentional Leader spec-recovery this session),Implement real per-title spec resolution feeding cover generation,New runtime component,P2
Cover Intelligence,Cover,Do not hardcode one distribution path across all titles,Founder direction item 30,productionPipelineV2Doctrine.js + lib/distribution-data.ts,distributionRail hardcoded to INGRAM_CONTENT for every title; zero Lightning Source references anywhere in code,CONFLICT,Medium,Make distribution-rail selection per-title/conditional,Runtime change,P2
Distribution Review,Distribution Review,Explicit final gate covering metadata/rights/BISAC/accessibility/audio/pricing/sequencing,06-Distribution-Review/instructions.md,milestone8DistributionSetupReadiness.js,A narrower production-setup checklist exists (files/ISBN/pricing/channels/human auth) - not the manual's full multi-domain content review,PARTIAL,Medium,Extend or add a dedicated Distribution Review gate matching manual scope,Runtime extension,P2
Distribution Review,Distribution Review,POD profitability gate (margin/discount/returnability),06-Distribution-Review/instructions.md section 6,(none found),No margin/pricing/discount/returnability calculation exists anywhere in the codebase,MISSING,High - a format could reach distribution while economically unsound,Implement the profitability formula as a hard gate,New runtime component,P1
Distribution Review,Distribution Review,Ready/Minor-Fixes/Blocked tri-state status,06-Distribution-Review/instructions.md,Various Blocked-style enums across publisher-operating-center.ts,Concepts exist under different names/scopes; no single canonical tri-state Distribution Review status,PARTIAL,Low,Map or add the explicit tri-state,Small runtime addition,P2
Model Routing,All,Editorial Review/Dev/Line->Claude Foundry; Copy/Proof->OpenAI; no silent fallback,Founder direction item 35,editorialExecutionRuntime.js preferredDeploymentAliasForStage + governedRouteRegistry.js,Provider-family routing matches stated policy; allowFallback:false hardcoded for all 5 stages in the live executor,ALIGNED,None (core requirement met),None required for correctness,None,P3
Model Routing,All,No drift between policy and actual routing,(implied),editorialModelRoutingRegistry.js vs governedRouteRegistry.js,Two independent registries exist; the aspirational one (targets GPT-5 for Copy/Proof) is not consulted by the live executor, which uses gpt-4o-mini,PARTIAL,Low-Medium,Reconcile or retire the unused registry to prevent future drift,Cleanup,P2
Operating Center,All,Author-facing/internal stage names should be human-friendly,Founder direction item 37,publisher-operating-center.ts,Stage/status labels already translated to human-readable strings throughout,ALIGNED,None,None,None,P3
Operating Center,All,Read model should show one truthful project-level stage,Founder direction item 38,publisher-operating-center.ts deriveTitleOperatingStages,Third, separate coarse stage enum that merges Cover+Interior Layout into one generic stage - cannot detect the Proof/Layout conflict itself,CONFLICT,High - same root cause as Layout Boundary above,Consolidate onto the single canonical stage source of truth once established,Architecture-bounded fix,P0
Manual Canon,Editorial Review,Manual GPT text conflicts with Founder canon on imprint hard-stop,Founder direction item 48,01-Editorial-Review/instructions.md L12-19,Manual GPT still says hard-stop; must be corrected to match already-aligned runtime,CONFLICT (manual side only),Low (doc only) but should be fixed to prevent future confusion,Update the manual GPT skill text,Manual GPT correction,P1
Manual Canon,Proofreader,Manual GPT proofreader text is itself correct and should become the runtime target,Founder direction item 49,05-Proofreader/instructions.md,No change needed to the manual text; runtime must change to match it,MANUAL_ONLY_BY_DESIGN,N/A,None to manual text,None,P3
